supplier_id,supplier_name,country,email,phone,email_status,normalized_name,duplicate_status
SUP044,Apex Chemical Solutions 44,Germany,apexchemical.solutions.44@example.com,66564484790,Valid,apex chemical solutions 44,Unique
SUP045,Nova Specialty Chemicals 45,France,novaspecialty.chemicals.45@example.com,85615573000,Valid,nova specialty chemicals 45,Potential Duplicate - Review
SUP046,Global Industrial Materials 46,France,globalindustrial.materials.46@example.com,76390423380,Valid,global industrial materials 46,Unique
SUP047,Metro Chemical Industries 47,Netherlands,metrochemical.industries.47@example.com,82725288090,Valid,metro chemical industries 47,Unique
SUP048,Prime Industrial Supplies 48,Switzerland,primeindustrial.supplies.48@example.com,,Valid,prime industrial supplies 48,Potential Duplicate - Review
SUP049,Apex Chemical Solutions 49,Germany,apexchemical.solutions.49@example.com,89279237350,Valid,apex chemical solutions 49,Unique
SUP050,Pioneer Specialty Materials 50,Japan,pioneerspecialty.materials.50@example.com,93011064030,Valid,pioneer specialty materials 50,Unique
SUP051,Universal Chemical Products 51,Germany,,72605734480,Invalid / Missing - Review Required,universal chemical products 51,Unique
SUP052,Vertex Materials 52,United States,vertexmaterials.52@example.com,79487284830,Valid,vertex materials 52,Unique
SUP053,Apex Chemical Solutions 53,Japan,apexchemical.solutions.53@example.com,81500009910,Valid,apex chemical solutions 53,Potential Duplicate - Review
SUP054,Nova Specialty Chemicals 54,Switzerland,novaspecialty.chemicals.54@example.com,99197067350,Valid,nova specialty chemicals 54,Unique
SUP055,Global Industrial Materials 55,Japan,globalindustrial.materials.55@example.com,96149423270,Valid,global industrial materials 55,Unique
SUP056,Pioneer Specialty Materials 56,Belgium,pioneerspecialty.materials.56@example.com,68543166810,Valid,pioneer specialty materials 56,Unique
SUP057,Nova Specialty Chemicals 57,United Kingdom,novaspecialty.chemicals.57@example.com,92749589450,Valid,nova specialty chemicals 57,Unique
SUP058,Nova Specialty Chemicals 58,Switzerland,novaspecialty.chemicals.58@example.com,93441752470,Valid,nova specialty chemicals 58,Potential Duplicate - Review
SUP059,Pioneer Specialty Materials 59,India,pioneerspecialty.materials.59@example.com,85724474120,Valid,pioneer specialty materials 59,Unique
SUP060,Universal Chemical Products 60,Netherlands,universalchemical.products.60@example.com,60836519700,Valid,universal chemical products 60,Unique
SUP061,Global Industrial Materials 61,United Kingdom,globalindustrial.materials.61@example.com,97740817120,Valid,global industrial materials 61,Unique
SUP062,Prime Industrial Supplies 62,Singapore,primeindustrial.supplies.62@example.com,62487867140,Valid,prime industrial supplies 62,Unique
SUP063,Zenith Chemical Industries 63,Belgium,zenithchemical.industries.63@example.com,63382589510,Valid,zenith chemical industries 63,Unique
SUP064,Global Industrial Materials 64,Netherlands,globalindustrial.materials.64@example.com,95047931840,Valid,global industrial materials 64,Unique
SUP065,Global Industrial Materials 65,Switzerland,globalindustrial.materials.65@example.com,92892338440,Valid,global industrial materials 65,Unique
SUP066,Nova Specialty Chemicals 66,United States,novaspecialty.chemicals.66@example.com,88336082040,Valid,nova specialty chemicals 66,Unique
SUP067,GreenCore Chemicals 67,Switzerland,greencorechemicals.67@example.com,67092148910,Valid,greencore chemicals 67,Unique
SUP068,Prime Industrial Supplies 68,Switzerland,primeindustrial.supplies.68@example.com,97470713860,Valid,prime industrial supplies 68,Unique
SUP069,Metro Chemical Industries 69,France,metrochemical.industries.69@example.com,69096663370,Valid,metro chemical industries 69,Unique
SUP070,Pioneer Specialty Materials 70,Singapore,pioneerspecialty.materials.70@example.com,,Valid,pioneer specialty materials 70,Unique
SUP071,Prime Industrial Supplies 71,France,primeindustrial.supplies.71@example.com,88848735290,Valid,prime industrial supplies 71,Unique
SUP072,Universal Chemical Products 72,Netherlands,universalchemical.products.72@example.com,98638130670,Valid,universal chemical products 72,Potential Duplicate - Review
SUP073,Pioneer Specialty Materials 73,Netherlands,pioneerspecialty.materials.73@example.com,65197090790,Valid,pioneer specialty materials 73,Unique
SUP074,Zenith Chemical Industries 74,Singapore,zenithchemical.industries.74@example.com,62749891480,Valid,zenith chemical industries 74,Unique
SUP075,Universal Chemical Products 75,India,universalchemical.products.75@example.com,85267666900,Valid,universal chemical products 75,Unique
SUP076,Pioneer Specialty Materials 76,Singapore,pioneerspecialty.materials.76@example.com,85273310580,Valid,pioneer specialty materials 76,Unique
SUP077,Zenith Chemical Industries 77,India,invalid-email,63049129820,Invalid / Missing - Review Required,zenith chemical industries 77,Unique
SUP078,Apex Chemical Solutions 78,Singapore,apexchemical.solutions.78@example.com,62894821820,Valid,apex chemical solutions 78,Unique
SUP079,Apex Chemical Solutions 79,United Kingdom,apexchemical.solutions.79@example.com,63043300030,Valid,apex chemical solutions 79,Unique
SUP080,Pioneer Specialty Materials 80,Singapore,pioneerspecialty.materials.80@example.com,71960507470,Valid,pioneer specialty materials 80,Unique
SUP081,GreenCore Chemicals 81,Singapore,greencorechemicals.81@example.com,83159921150,Valid,greencore chemicals 81,Unique
SUP082,Nova Specialty Chemicals 82,Belgium,novaspecialty.chemicals.82@example.com,84748101790,Valid,nova specialty chemicals 82,Unique
SUP083,GreenCore Chemicals 83,Singapore,greencorechemicals.83@example.com,93699147830,Valid,greencore chemicals 83,Unique
SUP084,GreenCore Chemicals 84,France,greencorechemicals.84@example.com,68178043830,Valid,greencore chemicals 84,Unique
SUP085,Global Industrial Materials 85,Germany,globalindustrial.materials.85@example.com,88303093700,Valid,global industrial materials 85,Unique
SUP086,Vertex Materials 86,United Kingdom,vertexmaterials.86@example.com,78192563370,Valid,vertex materials 86,Unique
SUP087,Vertex Materials 87,Netherlands,vertexmaterials.87@example.com,97101505720,Valid,vertex materials 87,Unique
SUP088,Apex Chemical Solutions 88,Germany,apexchemical.solutions.88@example.com,62603294550,Valid,apex chemical solutions 88,Unique
SUP089,Vertex Materials 89,United Kingdom,vertexmaterials.89@example.com,94385186410,Valid,vertex materials 89,Unique
SUP090,Global Industrial Materials 90,Singapore,globalindustrial.materials.90@example.com,68228730880,Valid,global industrial materials 90,Unique
SUP091,Zenith Chemical Industries 91,Switzerland,zenithchemical.industries.91@example.com,79267805410,Valid,zenith chemical industries 91,Unique
SUP092,Nova Specialty Chemicals 92,France,novaspecialty.chemicals.92@example.com,67880751260,Valid,nova specialty chemicals 92,Unique
SUP093,Prime Industrial Supplies 93,Netherlands,primeindustrial.supplies.93@example.com,70729105270,Valid,prime industrial supplies 93,Unique
SUP094,Global Industrial Materials 94,Netherlands,globalindustrial.materials.94@example.com,94704291150,Valid,global industrial materials 94,Unique
SUP095,Pioneer Specialty Materials 95,Germany,pioneerspecialty.materials.95@example.com,62172752240,Valid,pioneer specialty materials 95,Unique
SUP096,Pioneer Specialty Materials 96,India,pioneerspecialty.materials.96@example.com,,Valid,pioneer specialty materials 96,Unique
SUP097,Zenith Chemical Industries 97,United States,zenithchemical.industries.97@example.com,77455350980,Valid,zenith chemical industries 97,Unique
SUP098,GreenCore Chemicals 98,Netherlands,greencorechemicals.98@example.com,69180376330,Valid,greencore chemicals 98,Unique
SUP099,Vertex Materials 99,India,vertexmaterials.99@example.com,67071110480,Valid,vertex materials 99,Unique
SUP100,Vertex Materials 100,India,invalid-email,76768486760,Invalid / Missing - Review Required,vertex materials 100,Unique
SUP101,Prime Industrial Supplies 101,Netherlands,primeindustrial.supplies.101@example.com,72251361140,Valid,prime industrial supplies 101,Unique
SUP102,Vertex Materials 102,Switzerland,vertexmaterials.102@example.com,88427156170,Valid,vertex materials 102,Unique
SUP103,GreenCore Chemicals 103,United States,greencorechemicals.103@example.com,68156051320,Valid,greencore chemicals 103,Unique
SUP104,Prime Industrial Supplies 104,Singapore,primeindustrial.supplies.104@example.com,62511838300,Valid,prime industrial supplies 104,Unique
SUP105,metro chemical industries 105,Switzerland,metrochemical.industries.105@example.com,62618107630,Valid,metro chemical industries 105,Unique
SUP106,Universal Chemical Products 106,India,universalchemical.products.106@example.com,62153596820,Valid,universal chemical products 106,Unique
SUP107,Metro Chemical Industries 107,Netherlands,metrochemical.industries.107@example.com,81597259240,Valid,metro chemical industries 107,Unique
SUP108,Pioneer Specialty Materials 108,United States,pioneerspecialty.materials.108@example.com,62442959040,Valid,pioneer specialty materials 108,Unique
SUP109,Pioneer Specialty Materials 109,Germany,,96564884000,Invalid / Missing - Review Required,pioneer specialty materials 109,Unique
SUP110,nova specialty chemicals 110,Germany,novaspecialty.chemicals.110@example.com,85556563210,Valid,nova specialty chemicals 110,Unique
SUP111,Global Industrial Materials 111,Singapore,globalindustrial.materials.111@example.com,77342027990,Valid,global industrial materials 111,Unique
SUP112,Global Industrial Materials 112,Belgium,globalindustrial.materials.112@example.com,70574868680,Valid,global industrial materials 112,Potential Duplicate - Review
SUP113,Metro Chemical Industries 113,Belgium,metrochemical.industries.113@example.com,61706891500,Valid,metro chemical industries 113,Unique
SUP114,Metro Chemical Industries 114,Germany,metrochemical.industries.114@example.com,78005572830,Valid,metro chemical industries 114,Unique
SUP115,Metro Chemical Industries 115,Belgium,metrochemical.industries.115@example.com,82453346770,Valid,metro chemical industries 115,Potential Duplicate - Review
SUP116,Universal Chemical Products 116,Japan,universalchemical.products.116@example.com,68772865840,Valid,universal chemical products 116,Unique
SUP117,Universal Chemical Products 117,Singapore,universalchemical.products.117@example.com,71408056490,Valid,universal chemical products 117,Unique
SUP118,Vertex Materials 118,United States,vertexmaterials.118@example.com,88848875480,Valid,vertex materials 118,Unique
SUP119,Prime Industrial Supplies 119,Netherlands,primeindustrial.supplies.119@example.com,73579706980,Valid,prime industrial supplies 119,Unique
SUP120,Global Industrial Materials 120,India,globalindustrial.materials.120@example.com,,Valid,global industrial materials 120,Unique
SUP121,Metro Chemical Industries 121,Belgium,metrochemical.industries.121@example.com,64294162130,Valid,metro chemical industries 121,Unique
SUP122,Global Industrial Materials 122,Switzerland,globalindustrial.materials.122@example.com,69154907950,Valid,global industrial materials 122,Unique
SUP123,Pioneer Specialty Materials 123,Japan,pioneerspecialty.materials.123@example.com,65688966160,Valid,pioneer specialty materials 123,Unique
SUP124,UNIVERSAL CHEMICAL PRODUCTS 124,Germany,universalchemical.products.124@example.com,97764369310,Valid,universal chemical products 124,Unique
SUP125,Zenith Chemical Industries 125,United Kingdom,zenithchemical.industries.125@example.com,72240115380,Valid,zenith chemical industries 125,Unique
SUP126,Nova Specialty Chemicals 126,Netherlands,novaspecialty.chemicals.126@example.com,95809073140,Valid,nova specialty chemicals 126,Potential Duplicate - Review
SUP127,Pioneer Specialty Materials 127,Japan,pioneerspecialty.materials.127@example.com,86271359800,Valid,pioneer specialty materials 127,Unique
SUP128,Pioneer Specialty Materials 128,India,,88684506090,Invalid / Missing - Review Required,pioneer specialty materials 128,Unique
SUP129,Pioneer Specialty Materials 129,Japan,pioneerspecialty.materials.129@example.com,88492328390,Valid,pioneer specialty materials 129,Unique
SUP130,Global Industrial Materials 130,United States,globalindustrial.materials.130@example.com,71358724950,Valid,global industrial materials 130,Unique
SUP131,Global Industrial Materials 131,Germany,globalindustrial.materials.131@example.com,91886553870,Valid,global industrial materials 131,Unique
SUP132,Pioneer Specialty Materials 132,United States,invalid-email,71697266810,Invalid / Missing - Review Required,pioneer specialty materials 132,Unique
SUP133,Prime Industrial Supplies 133,Belgium,primeindustrial.supplies.133@example.com,69046474690,Valid,prime industrial supplies 133,Unique
SUP134,Universal Chemical Products 134,Singapore,universalchemical.products.134@example.com,89527776820,Valid,universal chemical products 134,Unique
SUP135,Prime Industrial Supplies 135,Switzerland,primeindustrial.supplies.135@example.com,80982283200,Valid,prime industrial supplies 135,Unique
SUP136,Prime Industrial Supplies 136,India,primeindustrial.supplies.136@example.com,63964188890,Valid,prime industrial supplies 136,Unique
SUP137,Vertex Materials 137,Japan,vertexmaterials.137@example.com,61893512130,Valid,vertex materials 137,Unique
SUP138,Apex Chemical Solutions 138,United Kingdom,apexchemical.solutions.138@example.com,93119318530,Valid,apex chemical solutions 138,Unique
SUP139,Nova Specialty Chemicals 139,Japan,novaspecialty.chemicals.139@example.com,66939893110,Valid,nova specialty chemicals 139,Unique
SUP140,GreenCore Chemicals 140,Switzerland,greencorechemicals.140@example.com,,Valid,greencore chemicals 140,Unique
SUP141,Vertex Materials 141,Switzerland,invalid-email,60415310460,Invalid / Missing - Review Required,vertex materials 141,Potential Duplicate - Review
SUP142,Global Industrial Materials 142,Germany,globalindustrial.materials.142@example.com,97929130720,Valid,global industrial materials 142,Unique
SUP143,Nova Specialty Chemicals 143,Switzerland,invalid-email,61547396780,Invalid / Missing - Review Required,nova specialty chemicals 143,Unique
SUP144,Universal Chemical Products 144,Belgium,universalchemical.products.144@example.com,83730772180,Valid,universal chemical products 144,Unique
SUP145,Nova Specialty Chemicals 145,France,novaspecialty.chemicals.145@example.com,65473743380,Valid,nova specialty chemicals 145,Unique
SUP146,Apex Chemical Solutions 146,Japan,,75661663140,Invalid / Missing - Review Required,apex chemical solutions 146,Unique
SUP147,Apex Chemical Solutions 147,United Kingdom,apexchemical.solutions.147@example.com,69022718520,Valid,apex chemical solutions 147,Unique
SUP148,Zenith Chemical Industries 148,Germany,zenithchemical.industries.148@example.com,75190381540,Valid,zenith chemical industries 148,Unique
SUP149,Pioneer Specialty Materials 149,France,pioneerspecialty.materials.149@example.com,86657208740,Valid,pioneer specialty materials 149,Unique
SUP150,Nova Specialty Chemicals 150,Singapore,novaspecialty.chemicals.150@example.com,,Valid,nova specialty chemicals 150,Unique
SUP151,Nova Specialty Chemicals 151,United States,novaspecialty.chemicals.151@example.com,,Valid,nova specialty chemicals 151,Unique
SUP152,Vertex Materials 152,India,vertexmaterials.152@example.com,67703481790,Valid,vertex materials 152,Unique
SUP153,Universal Chemical Products 153,France,,94455736660,Invalid / Missing - Review Required,universal chemical products 153,Unique
SUP154,Zenith Chemical Industries 154,Japan,zenithchemical.industries.154@example.com,,Valid,zenith chemical industries 154,Unique
SUP155,Global Industrial Materials 155,France,globalindustrial.materials.155@example.com,97459278240,Valid,global industrial materials 155,Unique
SUP156,Apex Chemical Solutions 156,Netherlands,apexchemical.solutions.156@example.com,69553455370,Valid,apex chemical solutions 156,Unique
SUP157,Zenith Chemical Industries 157,Netherlands,zenithchemical.industries.157@example.com,75017714910,Valid,zenith chemical industries 157,Unique
SUP158,Prime Industrial Supplies 158,Singapore,invalid-email,69574493670,Invalid / Missing - Review Required,prime industrial supplies 158,Unique
SUP159,Apex Chemical Solutions 159,Singapore,apexchemical.solutions.159@example.com,77113983520,Valid,apex chemical solutions 159,Unique
SUP160,Universal Chemical Products 160,Japan,universalchemical.products.160@example.com,97123676250,Valid,universal chemical products 160,Unique
SUP161,Global Industrial Materials 161,Japan,globalindustrial.materials.161@example.com,75081611370,Valid,global industrial materials 161,Unique
SUP162,Pioneer Specialty Materials 162,France,pioneerspecialty.materials.162@example.com,89185080770,Valid,pioneer specialty materials 162,Unique
SUP163,Pioneer Specialty Materials 163,United Kingdom,pioneerspecialty.materials.163@example.com,61185434080,Valid,pioneer specialty materials 163,Unique
SUP164,Global Industrial Materials 164,Japan,globalindustrial.materials.164@example.com,67669429390,Valid,global industrial materials 164,Unique
SUP165,Metro Chemical Industries 165,Japan,metrochemical.industries.165@example.com,61643134100,Valid,metro chemical industries 165,Unique
SUP166,Global Industrial Materials 166,Belgium,globalindustrial.materials.166@example.com,78664371320,Valid,global industrial materials 166,Unique
SUP167,Universal Chemical Products 167,United Kingdom,universalchemical.products.167@example.com,78742974570,Valid,universal chemical products 167,Unique
SUP168,Metro Chemical Industries 168,Switzerland,metrochemical.industries.168@example.com,64966948730,Valid,metro chemical industries 168,Unique
SUP169,Vertex Materials 169,Belgium,vertexmaterials.169@example.com,68163821250,Valid,vertex materials 169,Unique
SUP170,Prime Industrial Supplies 170,India,primeindustrial.supplies.170@example.com,90442096160,Valid,prime industrial supplies 170,Unique
SUP171,Vertex Materials 171,India,vertexmaterials.171@example.com,82330408840,Valid,vertex materials 171,Unique
SUP172,Pioneer Specialty Materials 172,Singapore,pioneerspecialty.materials.172@example.com,75643193180,Valid,pioneer specialty materials 172,Unique
SUP173,Vertex Materials 173,Germany,vertexmaterials.173@example.com,88528791240,Valid,vertex materials 173,Unique
SUP174,Universal Chemical Products 174,Belgium,universalchemical.products.174@example.com,73482574140,Valid,universal chemical products 174,Unique
SUP175,Global Industrial Materials 175,Japan,globalindustrial.materials.175@example.com,81780745900,Valid,global industrial materials 175,Unique
SUP176,Prime Industrial Supplies 176,France,primeindustrial.supplies.176@example.com,74009449000,Valid,prime industrial supplies 176,Unique
SUP177,Vertex Materials 177,Japan,vertexmaterials.177@example.com,83811834830,Valid,vertex materials 177,Unique
SUP178,Nova Specialty Chemicals 178,Singapore,novaspecialty.chemicals.178@example.com,78058032620,Valid,nova specialty chemicals 178,Unique
SUP179,Vertex Materials 179,United States,vertexmaterials.179@example.com,86436164310,Valid,vertex materials 179,Unique
SUP180,Metro Chemical Industries 180,Japan,metrochemical.industries.180@example.com,77440795730,Valid,metro chemical industries 180,Unique
SUP181,Pioneer Specialty Materials 181,India,pioneerspecialty.materials.181@example.com,73051329830,Valid,pioneer specialty materials 181,Unique
SUP182,Prime Industrial Supplies 182,Singapore,primeindustrial.supplies.182@example.com,78463555280,Valid,prime industrial supplies 182,Unique
SUP183,METRO CHEMICAL INDUSTRIES 183,Belgium,metrochemical.industries.183@example.com,88119392420,Valid,metro chemical industries 183,Unique
SUP184,Universal Chemical Products 184,Netherlands,universalchemical.products.184@example.com,78974564840,Valid,universal chemical products 184,Unique
SUP185,GreenCore Chemicals 185,Singapore,greencorechemicals.185@example.com,81954755980,Valid,greencore chemicals 185,Unique
SUP186,GreenCore Chemicals 186,United States,greencorechemicals.186@example.com,88297424240,Valid,greencore chemicals 186,Unique
SUP187,GLOBAL INDUSTRIAL MATERIALS 187,Japan,globalindustrial.materials.187@example.com,82138495130,Valid,global industrial materials 187,Unique
SUP188,Metro Chemical Industries 188,United Kingdom,metrochemical.industries.188@example.com,64010949540,Valid,metro chemical industries 188,Unique
SUP189,Zenith Chemical Industries 189,Japan,zenithchemical.industries.189@example.com,69648243190,Valid,zenith chemical industries 189,Unique
SUP190,Zenith Chemical Industries 190,United States,zenithchemical.industries.190@example.com,61049062550,Valid,zenith chemical industries 190,Unique
SUP191,Apex Chemical Solutions 191,Singapore,apexchemical.solutions.191@example.com,80406950430,Valid,apex chemical solutions 191,Unique
SUP192,Metro Chemical Industries 192,Germany,metrochemical.industries.192@example.com,79559975400,Valid,metro chemical industries 192,Unique
SUP193,Vertex Materials 193,Belgium,vertexmaterials.193@example.com,68350929720,Valid,vertex materials 193,Unique
SUP194,Vertex Materials 194,Netherlands,vertexmaterials.194@example.com,77164959710,Valid,vertex materials 194,Unique
SUP195,Zenith Chemical Industries 195,United States,zenithchemical.industries.195@example.com,88177476890,Valid,zenith chemical industries 195,Unique
SUP196,Apex Chemical Solutions 196,Germany,apexchemical.solutions.196@example.com,93432902010,Valid,apex chemical solutions 196,Unique
SUP197,Vertex Materials 197,Singapore,vertexmaterials.197@example.com,67554275350,Valid,vertex materials 197,Unique
SUP198,Pioneer Specialty Materials 198,Netherlands,pioneerspecialty.materials.198@example.com,62156863080,Valid,pioneer specialty materials 198,Unique
SUP199,Pioneer Specialty Materials 199,Singapore,pioneerspecialty.materials.199@example.com,99405036850,Valid,pioneer specialty materials 199,Unique
SUP200,Global Industrial Materials 200,Netherlands,globalindustrial.materials.200@example.com,65726870730,Valid,global industrial materials 200,Unique
SUP201,GreenCore Chemicals 201,Switzerland,greencorechemicals.201@example.com,84005658480,Valid,greencore chemicals 201,Unique
SUP202,Metro Chemical Industries 202,United Kingdom,metrochemical.industries.202@example.com,92437740980,Valid,metro chemical industries 202,Unique
SUP203,GreenCore Chemicals 203,Belgium,greencorechemicals.203@example.com,95004262900,Valid,greencore chemicals 203,Unique
SUP204,Pioneer Specialty Materials 204,France,pioneerspecialty.materials.204@example.com,95672674110,Valid,pioneer specialty materials 204,Unique
SUP205,Pioneer Specialty Materials 205,Netherlands,pioneerspecialty.materials.205@example.com,98534794810,Valid,pioneer specialty materials 205,Unique
SUP206,Nova Specialty Chemicals 206,Netherlands,novaspecialty.chemicals.206@example.com,79330349050,Valid,nova specialty chemicals 206,Unique
SUP207,Prime Industrial Supplies 207,Singapore,,96071836290,Invalid / Missing - Review Required,prime industrial supplies 207,Unique
SUP208,Prime Industrial Supplies 208,Switzerland,primeindustrial.supplies.208@example.com,,Valid,prime industrial supplies 208,Unique
SUP209,Zenith Chemical Industries 209,Japan,zenithchemical.industries.209@example.com,78892384230,Valid,zenith chemical industries 209,Unique
SUP210,Global Industrial Materials 210,Japan,globalindustrial.materials.210@example.com,70071422600,Valid,global industrial materials 210,Unique
SUP211,Prime Industrial Supplies 211,United Kingdom,primeindustrial.supplies.211@example.com,73731421160,Valid,prime industrial supplies 211,Unique
SUP212,Pioneer Specialty Materials 212,Germany,invalid-email,65943120710,Invalid / Missing - Review Required,pioneer specialty materials 212,Unique
SUP213,NOVA SPECIALTY CHEMICALS 213,Singapore,novaspecialty.chemicals.213@example.com,76451240510,Valid,nova specialty chemicals 213,Unique
SUP214,Nova Specialty Chemicals 214,Singapore,novaspecialty.chemicals.214@example.com,62758608170,Valid,nova specialty chemicals 214,Unique
SUP215,Vertex Materials 215,France,vertexmaterials.215@example.com,74211247380,Valid,vertex materials 215,Unique
SUP216,Pioneer Specialty Materials 216,Netherlands,pioneerspecialty.materials.216@example.com,77857367510,Valid,pioneer specialty materials 216,Unique
SUP217,Apex Chemical Solutions 217,Singapore,apexchemical.solutions.217@example.com,95772403340,Valid,apex chemical solutions 217,Potential Duplicate - Review
SUP218,vertex materials 218,France,vertexmaterials.218@example.com,98862516490,Valid,vertex materials 218,Unique
SUP219,Metro Chemical Industries 219,India,metrochemical.industries.219@example.com,96796360560,Valid,metro chemical industries 219,Unique
SUP220,Metro Chemical Industries 220,France,metrochemical.industries.220@example.com,80486123580,Valid,metro chemical industries 220,Unique
SUP221,Apex Chemical Solutions 221,United Kingdom,apexchemical.solutions.221@example.com,72825315820,Valid,apex chemical solutions 221,Unique
SUP222,Vertex Materials 222,France,,83116397230,Invalid / Missing - Review Required,vertex materials 222,Unique
SUP223,Pioneer Specialty Materials 223,Belgium,pioneerspecialty.materials.223@example.com,,Valid,pioneer specialty materials 223,Unique
