material_id,material_name,category_id,supplier_id,unit,price,country,price_status,normalized_name,duplicate_status,category_status
MAT0051,Hydrogen Peroxide Premium Material 0051,CAT002,SUP485,L,4092.68,United Kingdom,Valid,hydrogen peroxide premium material 0051,Unique,Valid
MAT0052,Sodium Hydroxide Premium Material 0052,CAT001,SUP203,DRUM,1901.11,France,Valid,sodium hydroxide premium material 0052,Unique,Valid
MAT0053,Acetone Industrial Material 0053,CAT004,SUP015,TON,4657.59,United Kingdom,Valid,acetone industrial material 0053,Unique,Valid
MAT0054,Hydrogen Peroxide B Material 0054,CAT001,SUP147,BOX,3495.56,United States,Valid,hydrogen peroxide b material 0054,Unique,Valid
MAT0055,Glycerol Premium Material 0055,CAT010,SUP003,KG,144.07,Singapore,Valid,glycerol premium material 0055,Unique,Valid
MAT0056,Hydrogen Peroxide Premium Material 0056,CAT002,SUP398,TON,1226.32,Germany,Valid,hydrogen peroxide premium material 0056,Unique,Valid
MAT0057,Ethanol B Material 0057,CAT007,SUP328,DRUM,2312.71,Germany,Valid,ethanol b material 0057,Unique,Valid
MAT0058,Glycerol A Material 0058,CAT009,SUP295,L,3606.79,Japan,Valid,glycerol a material 0058,Unique,Valid
MAT0059,Ethylene Glycol A Material 0059,CAT010,SUP181,L,2874.79,United States,Valid,ethylene glycol a material 0059,Unique,Valid
MAT0060,Acetone Industrial Material 0060,CAT002,SUP489,DRUM,2743.21,Switzerland,Valid,acetone industrial material 0060,Unique,Valid
MAT0061,Sodium Carbonate A Material 0061,CAT007,SUP448,BOX,265.5,France,Valid,sodium carbonate a material 0061,Unique,Valid
MAT0062,Toluene Industrial Material 0062,CAT001,SUP183,KG,1756.77,Germany,Valid,toluene industrial material 0062,Unique,Valid
MAT0063,Acetic Acid Industrial Material 0063,CAT003,SUP023,TON,2752.77,United States,Valid,acetic acid industrial material 0063,Unique,Valid
MAT0064,Propylene Glycol Premium Material 0064,CAT003,SUP416,L,362.35,Netherlands,Valid,propylene glycol premium material 0064,Unique,Valid
MAT0065,Ethanol Industrial Material 0065,CAT004,SUP023,L,4434.66,United Kingdom,Valid,ethanol industrial material 0065,Unique,Valid
MAT0066,Calcium Carbonate Premium Material 0066,CAT009,SUP243,TON,-856.0,Singapore,Invalid - Review Required,calcium carbonate premium material 0066,Unique,Valid
MAT0067,Calcium Carbonate Industrial Material 0067,CAT001,SUP444,TON,1402.42,United Kingdom,Valid,calcium carbonate industrial material 0067,Unique,Valid
MAT0068,Ethylene Glycol Premium Material 0068,CAT008,SUP459,BOX,1728.23,United States,Valid,ethylene glycol premium material 0068,Unique,Valid
MAT0069,Glycerol Premium Material 0069,CAT006,SUP474,DRUM,1370.27,Germany,Valid,glycerol premium material 0069,Unique,Valid
MAT0070,Ethylene Glycol A Material 0070,CAT007,SUP309,L,2750.1,United Kingdom,Valid,ethylene glycol a material 0070,Unique,Valid
MAT0071,Methanol A Material 0071,CAT006,SUP339,TON,1567.15,Belgium,Valid,methanol a material 0071,Unique,Valid
MAT0072,Ethylene Glycol B Material 0072,CAT008,SUP180,BOX,259.66,United Kingdom,Valid,ethylene glycol b material 0072,Unique,Valid
MAT0073,Formaldehyde Premium Material 0073,CAT005,SUP328,KG,421.45,France,Valid,formaldehyde premium material 0073,Unique,Valid
MAT0074,Toluene B Material 0074,CAT001,SUP074,DRUM,3406.54,Netherlands,Valid,toluene b material 0074,Unique,Valid
MAT0075,Ethanol B Material 0075,CAT002,SUP121,TON,1842.65,Belgium,Valid,ethanol b material 0075,Unique,Valid
MAT0076,Ethanol B Material 0076,CAT008,SUP486,TON,1891.47,Germany,Valid,ethanol b material 0076,Unique,Valid
MAT0077,Acetic Acid B Material 0077,CAT009,SUP188,BOX,1606.21,Japan,Valid,acetic acid b material 0077,Unique,Valid
MAT0078,Hydrochloric Acid A Material 0078,CAT001,SUP377,L,2520.27,France,Valid,hydrochloric acid a material 0078,Unique,Valid
MAT0079,Sodium Carbonate A Material 0079,CAT005,SUP397,TON,3534.99,Singapore,Valid,sodium carbonate a material 0079,Unique,Valid
MAT0080,Formaldehyde Industrial Material 0080,CAT008,SUP103,KG,721.86,Germany,Valid,formaldehyde industrial material 0080,Unique,Valid
MAT0081,Propylene Glycol B Material 0081,CAT008,SUP045,TON,3355.81,Germany,Valid,propylene glycol b material 0081,Unique,Valid
MAT0082,Sodium Carbonate Industrial Material 0082,CAT005,SUP436,L,3573.46,United States,Valid,sodium carbonate industrial material 0082,Unique,Valid
MAT0083,Toluene B Material 0083,CAT002,SUP103,L,1221.84,Netherlands,Valid,toluene b material 0083,Unique,Valid
MAT0084,Sodium Hydroxide Industrial Material 0084,CAT009,SUP294,TON,2363.66,Switzerland,Valid,sodium hydroxide industrial material 0084,Unique,Valid
MAT0085,Hydrogen Peroxide A Material 0085,CAT002,SUP159,BOX,4998.0,Netherlands,Valid,hydrogen peroxide a material 0085,Unique,Valid
MAT0086,Ammonium Hydroxide Premium Material 0086,,SUP422,DRUM,415.07,United Kingdom,Valid,ammonium hydroxide premium material 0086,Unique,Missing - Review Required
MAT0087,Acetone Premium Material 0087,CAT008,SUP349,DRUM,1755.35,Switzerland,Valid,acetone premium material 0087,Unique,Valid
MAT0088,Acetic Acid B Material 0088,CAT003,SUP222,DRUM,4558.03,India,Valid,acetic acid b material 0088,Unique,Valid
MAT0089,Methanol B Material 0089,CAT005,SUP085,L,1647.17,Singapore,Valid,methanol b material 0089,Potential Duplicate - Review,Valid
MAT0090,Toluene Industrial Material 0090,CAT002,SUP129,L,3193.53,Switzerland,Valid,toluene industrial material 0090,Unique,Valid
MAT0091,Sodium Chloride B Material 0091,CAT005,SUP315,DRUM,512.47,United States,Valid,sodium chloride b material 0091,Unique,Valid
MAT0092,Acetic Acid B Material 0092,CAT003,SUP338,DRUM,3617.13,Belgium,Valid,acetic acid b material 0092,Unique,Valid
MAT0093,Isopropyl Alcohol A Material 0093,CAT001,SUP042,KG,4745.31,Belgium,Valid,isopropyl alcohol a material 0093,Unique,Valid
MAT0094,Sodium Chloride B Material 0094,CAT010,SUP214,DRUM,3213.01,Netherlands,Valid,sodium chloride b material 0094,Potential Duplicate - Review,Valid
MAT0095,Sodium Carbonate Industrial Material 0095,CAT005,SUP248,L,4033.21,France,Valid,sodium carbonate industrial material 0095,Unique,Valid
MAT0096,Calcium Carbonate Premium Material 0096,CAT002,SUP353,KG,832.5,France,Valid,calcium carbonate premium material 0096,Unique,Valid
MAT0097,Glycerol Premium Material 0097,CAT004,SUP175,DRUM,761.16,United Kingdom,Valid,glycerol premium material 0097,Unique,Valid
MAT0098,Toluene Premium Material 0098,CAT003,SUP390,TON,2599.15,Germany,Valid,toluene premium material 0098,Unique,Valid
MAT0099,Isopropyl Alcohol B Material 0099,CAT008,SUP063,TON,2275.5,United States,Valid,isopropyl alcohol b material 0099,Unique,Valid
MAT0100,Methanol A Material 0100,CAT005,SUP485,BOX,4327.61,France,Valid,methanol a material 0100,Unique,Valid
MAT0101,Hydrochloric Acid B Material 0101,CAT006,SUP479,DRUM,3619.59,Singapore,Valid,hydrochloric acid b material 0101,Unique,Valid
MAT0102,Citric Acid Premium Material 0102,CAT009,SUP240,BOX,4401.42,Netherlands,Valid,citric acid premium material 0102,Unique,Valid
MAT0103,Sodium Hydroxide A Material 0103,CAT007,SUP259,BOX,4835.1,Singapore,Valid,sodium hydroxide a material 0103,Unique,Valid
MAT0104,Acetic Acid Industrial Material 0104,CAT001,SUP026,TON,2499.73,Netherlands,Valid,acetic acid industrial material 0104,Unique,Valid
MAT0105,Calcium Carbonate A Material 0105,CAT002,SUP221,L,4418.16,United Kingdom,Valid,calcium carbonate a material 0105,Unique,Valid
MAT0106,Xylene Industrial Material 0106,CAT001,SUP206,KG,2872.89,Singapore,Valid,xylene industrial material 0106,Unique,Valid
MAT0107,Toluene Industrial Material 0107,CAT002,SUP198,DRUM,2279.25,Switzerland,Valid,toluene industrial material 0107,Unique,Valid
MAT0108,Sodium Chloride A Material 0108,CAT003,SUP500,KG,1999.82,United Kingdom,Valid,sodium chloride a material 0108,Unique,Valid
MAT0109,Sodium Carbonate Industrial Material 0109,CAT003,SUP102,DRUM,2570.16,Switzerland,Valid,sodium carbonate industrial material 0109,Unique,Valid
MAT0110,Ethanol A Material 0110,CAT001,SUP071,TON,4029.63,Switzerland,Valid,ethanol a material 0110,Unique,Valid
MAT0111,Propylene Glycol B Material 0111,CAT010,SUP458,DRUM,741.92,Belgium,Valid,propylene glycol b material 0111,Unique,Valid
MAT0112,Isopropyl Alcohol B Material 0112,CAT007,SUP316,TON,2988.94,Switzerland,Valid,isopropyl alcohol b material 0112,Unique,Valid
MAT0113,Ammonium Hydroxide Premium Material 0113,CAT010,SUP154,BOX,4087.96,United Kingdom,Valid,ammonium hydroxide premium material 0113,Unique,Valid
MAT0114,Isopropyl Alcohol A Material 0114,CAT007,SUP299,TON,3993.94,India,Valid,isopropyl alcohol a material 0114,Unique,Valid
MAT0115,Formaldehyde Premium Material 0115,CAT005,SUP496,DRUM,,India,Missing - Review Required,formaldehyde premium material 0115,Unique,Valid
MAT0116,Acetic Acid Premium Material 0116,CAT003,SUP269,DRUM,3884.3,France,Valid,acetic acid premium material 0116,Unique,Valid
MAT0117,Hydrogen Peroxide B Material 0117,CAT001,SUP294,KG,994.38,Netherlands,Valid,hydrogen peroxide b material 0117,Unique,Valid
MAT0118,Isopropyl Alcohol Premium Material 0118,CAT003,SUP212,L,2081.37,Belgium,Valid,isopropyl alcohol premium material 0118,Unique,Valid
MAT0119,Glycerol A Material 0119,CAT003,SUP266,L,2826.39,Netherlands,Valid,glycerol a material 0119,Unique,Valid
MAT0120,Ammonium Hydroxide Premium Material 0120,CAT006,SUP490,L,2325.33,Switzerland,Valid,ammonium hydroxide premium material 0120,Unique,Valid
MAT0121,Isopropyl Alcohol Industrial Material 0121,CAT005,SUP313,BOX,1001.71,Singapore,Valid,isopropyl alcohol industrial material 0121,Unique,Valid
MAT0122,Sodium Chloride Industrial Material 0122,CAT004,SUP483,TON,3867.31,Singapore,Valid,sodium chloride industrial material 0122,Unique,Valid
MAT0123,Glycerol Industrial Material 0123,CAT008,SUP179,DRUM,4671.82,Japan,Valid,glycerol industrial material 0123,Unique,Valid
MAT0124,Calcium Carbonate A Material 0124,CAT010,SUP347,DRUM,1929.49,France,Valid,calcium carbonate a material 0124,Unique,Valid
MAT0125,Toluene B Material 0125,CAT005,SUP022,TON,4778.8,Germany,Valid,toluene b material 0125,Unique,Valid
MAT0126,Toluene Premium Material 0126,CAT005,SUP383,BOX,1109.23,Switzerland,Valid,toluene premium material 0126,Unique,Valid
MAT0127,Sodium Chloride Industrial Material 0127,CAT003,SUP056,DRUM,3717.41,Singapore,Valid,sodium chloride industrial material 0127,Unique,Valid
MAT0128,Hydrochloric Acid A Material 0128,CAT009,SUP116,L,309.83,France,Valid,hydrochloric acid a material 0128,Unique,Valid
MAT0129,Isopropyl Alcohol Premium Material 0129,CAT002,SUP349,L,75.65,Switzerland,Valid,isopropyl alcohol premium material 0129,Unique,Valid
MAT0130,Citric Acid Premium Material 0130,CAT008,SUP245,L,3791.76,Japan,Valid,citric acid premium material 0130,Unique,Valid
MAT0131,Isopropyl Alcohol Industrial Material 0131,CAT001,SUP465,KG,3278.88,Singapore,Valid,isopropyl alcohol industrial material 0131,Unique,Valid
MAT0132,Sodium Carbonate A Material 0132,CAT003,SUP214,L,4672.92,India,Valid,sodium carbonate a material 0132,Unique,Valid
MAT0133,Xylene Premium Material 0133,CAT003,SUP480,TON,4389.88,India,Valid,xylene premium material 0133,Unique,Valid
MAT0134,Calcium Carbonate A Material 0134,CAT006,SUP146,BOX,4946.04,Switzerland,Valid,calcium carbonate a material 0134,Unique,Valid
MAT0135,Ammonium Hydroxide Premium Material 0135,CAT003,SUP436,DRUM,2366.7,Singapore,Valid,ammonium hydroxide premium material 0135,Unique,Valid
MAT0136,Methanol Industrial Material 0136,CAT003,SUP375,BOX,3259.01,United States,Valid,methanol industrial material 0136,Unique,Valid
MAT0137,Sodium Hydroxide Industrial Material 0137,CAT005,SUP291,L,918.7,France,Valid,sodium hydroxide industrial material 0137,Unique,Valid
MAT0138,Ethylene Glycol Industrial Material 0138,CAT002,SUP206,KG,964.67,United States,Valid,ethylene glycol industrial material 0138,Unique,Valid
MAT0139,Glycerol Industrial Material 0139,CAT004,SUP004,TON,1948.69,Netherlands,Valid,glycerol industrial material 0139,Unique,Valid
MAT0140,Sodium Chloride Industrial Material 0140,CAT005,SUP299,DRUM,106.61,United Kingdom,Valid,sodium chloride industrial material 0140,Unique,Valid
MAT0141,Hydrochloric Acid A Material 0141,CAT002,SUP239,TON,840.6,Switzerland,Valid,hydrochloric acid a material 0141,Unique,Valid
MAT0142,Calcium Carbonate A Material 0142,CAT005,SUP189,DRUM,1143.2,United States,Valid,calcium carbonate a material 0142,Unique,Valid
MAT0143,Glycerol B Material 0143,CAT008,SUP383,DRUM,1899.44,Switzerland,Valid,glycerol b material 0143,Potential Duplicate - Review,Valid
MAT0144,Glycerol B Material 0144,CAT004,SUP349,DRUM,4372.02,Germany,Valid,glycerol b material 0144,Unique,Valid
MAT0145,Ammonium Hydroxide Premium Material 0145,CAT009,SUP361,TON,436.61,Belgium,Valid,ammonium hydroxide premium material 0145,Unique,Valid
MAT0146,Methanol A Material 0146,,SUP463,DRUM,1050.68,Switzerland,Valid,methanol a material 0146,Unique,Missing - Review Required
MAT0147,Hydrogen Peroxide B Material 0147,CAT006,SUP438,DRUM,2237.11,Singapore,Valid,hydrogen peroxide b material 0147,Unique,Valid
MAT0148,Acetic Acid Premium Material 0148,CAT002,SUP461,DRUM,2255.14,India,Valid,acetic acid premium material 0148,Unique,Valid
MAT0149,Propylene Glycol B Material 0149,CAT009,SUP213,BOX,2841.36,Switzerland,Valid,propylene glycol b material 0149,Unique,Valid
MAT0150,Propylene Glycol Industrial Material 0150,CAT001,SUP203,TON,4091.44,Singapore,Valid,propylene glycol industrial material 0150,Unique,Valid
MAT0151,Acetic Acid A Material 0151,CAT001,SUP217,TON,3516.91,Switzerland,Valid,acetic acid a material 0151,Unique,Valid
MAT0152,Ethanol A Material 0152,CAT008,SUP017,TON,2073.89,United States,Valid,ethanol a material 0152,Unique,Valid
MAT0153,Ethylene Glycol Industrial Material 0153,CAT007,SUP230,BOX,1909.45,Switzerland,Valid,ethylene glycol industrial material 0153,Unique,Valid
MAT0154,Hydrogen Peroxide Industrial Material 0154,CAT002,SUP092,DRUM,1995.64,United States,Valid,hydrogen peroxide industrial material 0154,Unique,Valid
MAT0155,Hydrochloric Acid A Material 0155,CAT001,SUP153,BOX,3383.82,Switzerland,Valid,hydrochloric acid a material 0155,Unique,Valid
MAT0156,Ethylene Glycol Premium Material 0156,,SUP127,BOX,1763.49,Japan,Valid,ethylene glycol premium material 0156,Unique,Missing - Review Required
MAT0157,Sulfuric Acid A Material 0157,CAT001,SUP415,BOX,3093.87,India,Valid,sulfuric acid a material 0157,Unique,Valid
MAT0158,Hydrochloric Acid B Material 0158,CAT002,SUP052,DRUM,216.2,Belgium,Valid,hydrochloric acid b material 0158,Unique,Valid
MAT0159,Ethanol B Material 0159,CAT001,SUP206,BOX,1209.98,Singapore,Valid,ethanol b material 0159,Unique,Valid
MAT0160,Ethanol B Material 0160,CAT009,SUP149,L,4088.14,Belgium,Valid,ethanol b material 0160,Unique,Valid
MAT0161,Isopropyl Alcohol Industrial Material 0161,CAT004,SUP155,L,4929.19,Switzerland,Valid,isopropyl alcohol industrial material 0161,Unique,Valid
MAT0162,Hydrochloric Acid Premium Material 0162,CAT005,SUP141,KG,2805.75,Belgium,Valid,hydrochloric acid premium material 0162,Potential Duplicate - Review,Valid
MAT0163,Citric Acid Premium Material 0163,CAT009,SUP254,KG,4862.84,France,Valid,citric acid premium material 0163,Unique,Valid
MAT0164,Ammonium Hydroxide Industrial Material 0164,CAT007,SUP210,L,1534.45,United States,Valid,ammonium hydroxide industrial material 0164,Unique,Valid
MAT0165,Sodium Carbonate Premium Material 0165,CAT004,SUP435,L,1538.65,United States,Valid,sodium carbonate premium material 0165,Unique,Valid
MAT0166,Propylene Glycol A Material 0166,CAT009,SUP212,BOX,2808.57,United States,Valid,propylene glycol a material 0166,Unique,Valid
MAT0167,Xylene B Material 0167,CAT005,SUP105,TON,3251.19,Netherlands,Valid,xylene b material 0167,Unique,Valid
MAT0168,Toluene A Material 0168,CAT009,SUP371,L,,France,Missing - Review Required,toluene a material 0168,Unique,Valid
MAT0169,Formaldehyde A Material 0169,CAT002,SUP097,DRUM,3635.31,Switzerland,Valid,formaldehyde a material 0169,Unique,Valid
MAT0170,Sulfuric Acid Premium Material 0170,CAT004,SUP446,TON,1550.78,India,Valid,sulfuric acid premium material 0170,Unique,Valid
MAT0171,Sulfuric Acid B Material 0171,,SUP383,BOX,4576.48,Belgium,Valid,sulfuric acid b material 0171,Unique,Missing - Review Required
MAT0172,Sulfuric Acid Premium Material 0172,CAT004,SUP283,TON,3888.79,France,Valid,sulfuric acid premium material 0172,Unique,Valid
MAT0173,Propylene Glycol Industrial Material 0173,CAT005,SUP134,TON,2588.44,Netherlands,Valid,propylene glycol industrial material 0173,Unique,Valid
MAT0174,Propylene Glycol A Material 0174,CAT008,SUP390,TON,4575.94,United Kingdom,Valid,propylene glycol a material 0174,Unique,Valid
MAT0175,Isopropyl Alcohol Premium Material 0175,CAT001,SUP289,L,3719.2,India,Valid,isopropyl alcohol premium material 0175,Unique,Valid
MAT0176,Sodium Chloride Premium Material 0176,CAT005,SUP079,L,1682.83,France,Valid,sodium chloride premium material 0176,Unique,Valid
MAT0177,Acetic Acid B Material 0177,CAT008,SUP282,TON,1323.77,Netherlands,Valid,acetic acid b material 0177,Unique,Valid
MAT0178,Glycerol Premium Material 0178,CAT003,SUP376,TON,887.87,Switzerland,Valid,glycerol premium material 0178,Unique,Valid
MAT0179,Glycerol B Material 0179,CAT009,SUP329,KG,2643.52,Germany,Valid,glycerol b material 0179,Unique,Valid
MAT0180,Ethanol A Material 0180,CAT007,SUP071,L,386.44,United States,Valid,ethanol a material 0180,Unique,Valid
MAT0181,Sodium Hydroxide B Material 0181,CAT009,SUP234,TON,349.23,Belgium,Valid,sodium hydroxide b material 0181,Unique,Valid
MAT0182,Glycerol Premium Material 0182,CAT001,SUP004,DRUM,2780.64,India,Valid,glycerol premium material 0182,Unique,Valid
MAT0183,Sodium Hydroxide Industrial Material 0183,CAT009,SUP147,KG,2535.97,France,Valid,sodium hydroxide industrial material 0183,Unique,Valid
MAT0184,Citric Acid A Material 0184,CAT002,SUP269,L,1242.8,Belgium,Valid,citric acid a material 0184,Unique,Valid
MAT0185,Ammonium Hydroxide Industrial Material 0185,CAT006,SUP137,BOX,441.15,France,Valid,ammonium hydroxide industrial material 0185,Unique,Valid
MAT0186,Propylene Glycol B Material 0186,CAT004,SUP154,KG,3285.99,India,Valid,propylene glycol b material 0186,Unique,Valid
MAT0187,Acetone Premium Material 0187,CAT007,SUP194,DRUM,2406.23,India,Valid,acetone premium material 0187,Unique,Valid
MAT0188,Citric Acid A Material 0188,,SUP433,BOX,3242.29,United Kingdom,Valid,citric acid a material 0188,Unique,Missing - Review Required
MAT0189,Acetic Acid A Material 0189,CAT009,SUP471,KG,1187.34,Belgium,Valid,acetic acid a material 0189,Unique,Valid
MAT0190,Glycerol Industrial Material 0190,CAT001,SUP474,KG,3437.92,Japan,Valid,glycerol industrial material 0190,Unique,Valid
MAT0191,Sodium Carbonate A Material 0191,CAT003,SUP476,TON,127.51,Singapore,Valid,sodium carbonate a material 0191,Unique,Valid
MAT0192,Acetic Acid B Material 0192,CAT007,SUP476,KG,1531.42,Belgium,Valid,acetic acid b material 0192,Unique,Valid
MAT0193,Hydrochloric Acid Premium Material 0193,CAT009,SUP170,BOX,3790.27,United States,Valid,hydrochloric acid premium material 0193,Unique,Valid
MAT0194,Acetone Industrial Material 0194,CAT001,SUP051,BOX,1199.11,Germany,Valid,acetone industrial material 0194,Unique,Valid
MAT0195,Isopropyl Alcohol Premium Material 0195,CAT006,SUP016,TON,3928.56,Netherlands,Valid,isopropyl alcohol premium material 0195,Unique,Valid
MAT0196,Glycerol B Material 0196,CAT006,SUP284,BOX,2187.65,Belgium,Valid,glycerol b material 0196,Unique,Valid
MAT0197,Xylene A Material 0197,CAT010,SUP152,L,3579.89,Germany,Valid,xylene a material 0197,Unique,Valid
MAT0198,Sodium Chloride B Material 0198,CAT007,SUP365,L,3711.29,United Kingdom,Valid,sodium chloride b material 0198,Unique,Valid
MAT0199,Toluene A Material 0199,CAT002,SUP003,TON,2251.44,Japan,Valid,toluene a material 0199,Unique,Valid
MAT0200,Methanol B Material 0200,CAT002,SUP096,BOX,2271.78,Switzerland,Valid,methanol b material 0200,Unique,Valid
