material_id,material_name,category_id,supplier_id,unit,price,country
MAT0093,Isopropyl Alcohol A Material 0093,CAT001,SUP042,KG,4745.31,Belgium
MAT0094,Sodium Chloride B Material 0094,CAT010,SUP214,DRUM,3213.01,Netherlands
MAT0095,Sodium Carbonate Industrial Material 0095,CAT005,SUP248,L,4033.21,France
MAT0096,Calcium Carbonate Premium Material 0096,CAT002,SUP353,KG,832.5,France
MAT0097,Glycerol Premium Material 0097,CAT004,SUP175,DRUM,761.16,United Kingdom
MAT0098,Toluene Premium Material 0098,CAT003,SUP390,Tonne,2599.15,Germany
MAT0099,Isopropyl Alcohol B Material 0099,CAT008,SUP063,TON,2275.5,United States
MAT0100,Methanol A Material 0100,CAT005,SUP485,BOX,4327.61,France
MAT0101,Hydrochloric Acid B Material 0101,CAT006,SUP479,DRUM,3619.59,Singapore
MAT0102,Citric Acid Premium Material 0102,CAT009,SUP240,box,4401.42,Netherlands
MAT0103,Sodium Hydroxide A Material 0103,CAT007,SUP259,BOX,4835.1,Singapore
MAT0104,Acetic Acid Industrial Material 0104,CAT001,SUP026,Tonne,2499.73,Netherlands
MAT0105,Calcium Carbonate A Material 0105,CAT002,SUP221,L,4418.16,United Kingdom
MAT0106,Xylene Industrial Material 0106,CAT001,SUP206,KG,2872.89,Singapore
MAT0107,Toluene Industrial Material 0107,CAT002,SUP198,DRUM,2279.25,Switzerland
MAT0108,Sodium Chloride A Material 0108,CAT003,SUP500,KG,1999.82,United Kingdom
MAT0109,Sodium Carbonate Industrial Material 0109,CAT003,SUP102,DRUM,2570.16,Switzerland
MAT0110,Ethanol A Material 0110,CAT001,SUP071,TON,4029.63,Switzerland
MAT0111,Propylene Glycol B Material 0111,CAT010,SUP458,DRUM,741.92,Belgium
MAT0112,Isopropyl Alcohol B Material 0112,CAT007,SUP316,TON,2988.94,Switzerland
MAT0113,Ammonium Hydroxide Premium Material 0113,CAT010,SUP154,BOX,4087.96,United Kingdom
MAT0114,Isopropyl Alcohol A Material 0114,CAT007,SUP299,TON,3993.94,India
MAT0115,Formaldehyde Premium Material 0115,CAT005,SUP496,DRUM,,India
MAT0116,Acetic Acid Premium Material 0116,CAT003,SUP269,DRUM,3884.3,France
MAT0117,Hydrogen Peroxide B Material 0117,CAT001,SUP294,KG,994.38,Netherlands
MAT0118,Isopropyl Alcohol Premium Material 0118,CAT003,SUP212,L,2081.37,Belgium
MAT0119,Glycerol A Material 0119,CAT003,SUP266,L,2826.39,Netherlands
MAT0120,Ammonium Hydroxide Premium Material 0120,CAT006,SUP490,L,2325.33,Switzerland
MAT0121,Isopropyl Alcohol Industrial Material 0121,CAT005,SUP313,BOX,1001.71,Singapore
MAT0122,Sodium Chloride Industrial Material 0122,CAT004,SUP483,TON,3867.31,Singapore
MAT0123,Glycerol Industrial Material 0123,CAT008,SUP179,DRUM,4671.82,Japan
MAT0124,Calcium Carbonate A Material 0124,CAT010,SUP347,DRUM,1929.49,France
MAT0125,Toluene B Material 0125,CAT005,SUP022,TON,4778.8,Germany
MAT0126,Toluene Premium Material 0126,CAT005,SUP383,BOX,1109.23,Switzerland
MAT0127,Sodium Chloride Industrial Material 0127,CAT003,SUP056,DRUM,3717.41,Singapore
MAT0128,Hydrochloric Acid A Material 0128,CAT009,SUP116,L,309.83,France
MAT0129,Isopropyl Alcohol Premium Material 0129,CAT002,SUP349,L,75.65,Switzerland
MAT0130,Citric Acid Premium Material 0130,CAT008,SUP245,L,3791.76,Japan
MAT0131,Isopropyl Alcohol Industrial Material 0131,CAT001,SUP465,KG,3278.88,Singapore
MAT0132,Sodium Carbonate A Material 0132,CAT003,SUP214,L,4672.92,India
MAT0133,Xylene Premium Material 0133,CAT003,SUP480,TON,4389.88,India
MAT0134,Calcium Carbonate A Material 0134,CAT006,SUP146,BOX,4946.04,Switzerland
MAT0135,Ammonium Hydroxide Premium Material 0135,CAT003,SUP436,DRUM,2366.7,Singapore
MAT0136,Methanol Industrial Material 0136,CAT003,SUP375,BOX,3259.01,United States
MAT0137,Sodium Hydroxide Industrial Material 0137,CAT005,SUP291,L,918.7,France
MAT0138,Ethylene Glycol Industrial Material 0138,CAT002,SUP206,KG,964.67,United States
MAT0139,Glycerol Industrial Material 0139,CAT004,SUP004,TON,1948.69,Netherlands
MAT0140,Sodium Chloride Industrial Material 0140,CAT005,SUP299,DRUM,106.61,United Kingdom
MAT0141,Hydrochloric Acid A Material 0141,CAT002,SUP239,TON,840.6,Switzerland
MAT0142,Calcium Carbonate A Material 0142,CAT005,SUP189,DRUM,1143.2,United States
MAT0143,Glycerol B Material 0143,CAT008,SUP383,DRUM,1899.44,Switzerland
MAT0144,Glycerol B Material 0144,CAT004,SUP349,DRUM,4372.02,Germany
MAT0145,Ammonium Hydroxide Premium Material 0145,CAT009,SUP361,TON,436.61,Belgium
MAT0146,Methanol A Material 0146,,SUP463,DRUM,1050.68,Switzerland
MAT0147,Hydrogen Peroxide B Material 0147,CAT006,SUP438,DRUM,2237.11,Singapore
MAT0148,Acetic Acid Premium Material 0148,CAT002,SUP461,DRUM,2255.14,India
MAT0149,Propylene Glycol B Material 0149,CAT009,SUP213,BOX,2841.36,Switzerland
MAT0150,Propylene Glycol Industrial Material 0150,CAT001,SUP203,TON,4091.44,Singapore
MAT0151,Acetic Acid A Material 0151,CAT001,SUP217,TON,3516.91,Switzerland
MAT0152,Ethanol A Material 0152,CAT008,SUP017,TON,2073.89,United States
MAT0153,Ethylene Glycol Industrial Material 0153,CAT007,SUP230,BOX,1909.45,Switzerland
MAT0154,Hydrogen Peroxide Industrial Material 0154,CAT002,SUP092,DRUM,1995.64,United States
MAT0155,Hydrochloric Acid A Material 0155,CAT001,SUP153,BOX,3383.82,Switzerland
MAT0156,Ethylene Glycol Premium Material 0156,,SUP127,BOX,1763.49,Japan
MAT0157,Sulfuric Acid A Material 0157,CAT001,SUP415,BOX,3093.87,India
MAT0158,Hydrochloric Acid B Material 0158,CAT002,SUP052,DRUM,216.2,Belgium
MAT0159,Ethanol B Material 0159,CAT001,SUP206,Box,1209.98,Singapore
MAT0160,Ethanol B Material 0160,CAT009,SUP149,L,4088.14,Belgium
MAT0161,Isopropyl Alcohol Industrial Material 0161,CAT004,SUP155,L,4929.19,Switzerland
MAT0162,Hydrochloric Acid Premium Material 0162,CAT005,SUP141,KG,2805.75,Belgium
MAT0163,Citric Acid Premium Material 0163,CAT009,SUP254,KG,4862.84,France
MAT0164,Ammonium Hydroxide Industrial Material 0164,CAT007,SUP210,L,1534.45,United States
MAT0165,Sodium Carbonate Premium Material 0165,CAT004,SUP435,L,1538.65,United States
MAT0166,Propylene Glycol A Material 0166,CAT009,SUP212,BOX,2808.57,United States
MAT0167,Xylene B Material 0167,CAT005,SUP105,tonne,3251.19,Netherlands
MAT0168,Toluene A Material 0168,CAT009,SUP371,L,,France
MAT0169,Formaldehyde A Material 0169,CAT002,SUP097,DRUM,3635.31,Switzerland
MAT0170,Sulfuric Acid Premium Material 0170,CAT004,SUP446,Tonne,1550.78,India
MAT0171,Sulfuric Acid B Material 0171,,SUP383,BOX,4576.48,Belgium
MAT0172,Sulfuric Acid Premium Material 0172,CAT004,SUP283,TON,3888.79,France
MAT0173,Propylene Glycol Industrial Material 0173,CAT005,SUP134,TON,2588.44,Netherlands
MAT0174,Propylene Glycol A Material 0174,CAT008,SUP390,TON,4575.94,United Kingdom
MAT0175,Isopropyl Alcohol Premium Material 0175,CAT001,SUP289,L,3719.2,India
MAT0176,Sodium Chloride Premium Material 0176,CAT005,SUP079,L,1682.83,France
MAT0177,Acetic Acid B Material 0177,CAT008,SUP282,TON,1323.77,Netherlands
MAT0178,Glycerol Premium Material 0178,CAT003,SUP376,TON,887.87,Switzerland
MAT0179,Glycerol B Material 0179,CAT009,SUP329,KG,2643.52,Germany
MAT0180,Ethanol A Material 0180,CAT007,SUP071,Liter,386.44,United States
MAT0181,Sodium Hydroxide B Material 0181 ,CAT009,SUP234,TON,349.23,Belgium
MAT0182,Glycerol Premium Material 0182,CAT001,SUP004,DRUM,2780.64,India
MAT0183,Sodium Hydroxide Industrial Material 0183,CAT009,SUP147,KG,2535.97,France
MAT0184,Citric Acid A Material 0184,CAT002,SUP269,L,1242.8,Belgium
MAT0185,Ammonium Hydroxide Industrial Material 0185,CAT006,SUP137,BOX,441.15,France
MAT0186,Propylene Glycol B Material 0186,CAT004,SUP154,KG,3285.99,India
MAT0187,Acetone Premium Material 0187,CAT007,SUP194,DRUM,2406.23,India
MAT0188,Citric Acid A Material 0188,,SUP433,BOX,3242.29,United Kingdom
MAT0189,Acetic Acid A Material 0189,CAT009,SUP471,KG,1187.34,Belgium
MAT0190,Glycerol Industrial Material 0190,CAT001,SUP474,Kg,3437.92,Japan
MAT0191,Sodium Carbonate A Material 0191,CAT003,SUP476,TON,127.51,Singapore
MAT0192,Acetic Acid B Material 0192,CAT007,SUP476,KG,1531.42,Belgium
MAT0193,Hydrochloric Acid Premium Material 0193,CAT009,SUP170,BOX,3790.27,United States
MAT0194,Acetone Industrial Material 0194,CAT001,SUP051,BOX,1199.11,Germany
MAT0195,Isopropyl Alcohol Premium Material 0195,CAT006,SUP016,TON,3928.56,Netherlands
MAT0196,Glycerol B Material 0196,CAT006,SUP284,BOX,2187.65,Belgium
MAT0197,Xylene A Material 0197,CAT010,SUP152,l,3579.89,Germany
MAT0198,Sodium Chloride B Material 0198,CAT007,SUP365,L,3711.29,United Kingdom
MAT0199,Toluene A Material 0199,CAT002,SUP003,TON,2251.44,Japan
MAT0200,Methanol B Material 0200,CAT002,SUP096,BOX,2271.78,Switzerland
MAT0201,Ammonium Hydroxide Premium Material 0201,CAT002,SUP014,KG,1801.88,Germany
MAT0202,Formaldehyde Industrial Material 0202,CAT007,SUP007,TON,2098.36,Germany
MAT0203,Sodium Carbonate B Material 0203,CAT010,SUP267,L,3442.31,United States
MAT0204,Hydrogen Peroxide Industrial Material 0204,CAT005,SUP138,BOX,772.38,United States
MAT0205,Ethylene Glycol Industrial Material 0205,CAT007,SUP154,Box,3924.2,United Kingdom
MAT0206,Sodium Chloride B Material 0206,CAT008,SUP305,DRUM,1017.96,Germany
MAT0207,Hydrogen Peroxide Industrial Material 0207,CAT001,SUP486,BOX,1694.48,Belgium
MAT0208,Xylene Industrial Material 0208,CAT008,SUP172,box,4086.6,Belgium
MAT0209,Hydrogen Peroxide Industrial Material 0209,CAT006,SUP309,L,2421.1,United States
MAT0210,Xylene Industrial Material 0210,CAT005,SUP377,BOX,4840.43,Singapore
MAT0211,Isopropyl Alcohol Premium Material 0211,CAT005,SUP419,BOX,1856.83,Belgium
MAT0212,Sulfuric Acid B Material 0212,CAT009,SUP014,BOX,4717.73,Singapore
MAT0213,Propylene Glycol Industrial Material 0213,CAT002,SUP420,BOX,3381.24,United States
MAT0214,Calcium Carbonate B Material 0214,CAT005,SUP338,L,3590.42,France
MAT0215,Acetone Premium Material 0215,CAT010,SUP246,DRUM,2033.99,Switzerland
MAT0216,Ethylene Glycol A Material 0216,CAT006,SUP360,DRUM,2989.41,Germany
MAT0217,Methanol B Material 0217,CAT006,SUP086,DRUM,269.27,France
MAT0218,Isopropyl Alcohol Premium Material 0218,CAT002,SUP006,KG,1330.75,Switzerland
MAT0219,Ammonium Hydroxide B Material 0219,CAT008,SUP192,BOX,2342.16,Belgium
MAT0220,Ammonium Hydroxide B Material 0220,CAT006,SUP013,BOX,567.52,France
MAT0221,Acetone A Material 0221,CAT003,SUP179,TON,1748.18,Singapore
MAT0222,Ammonium Hydroxide Premium Material 0222,CAT006,SUP244,KG,,Netherlands
MAT0223,Isopropyl Alcohol A Material 0223,CAT005,SUP023,KG,161.8,United Kingdom
MAT0224,Methanol B Material 0224,CAT004,SUP265,L,2781.96,United Kingdom
MAT0225,Sodium Carbonate Premium Material 0225,CAT008,SUP119,BOX,3167.31,United States
MAT0226,Ethylene Glycol Premium Material 0226,CAT001,SUP378,DRUM,4421.33,Netherlands
MAT0227,Acetic Acid Premium Material 0227,CAT007,SUP003,L,1068.63,Germany
MAT0228,Acetic Acid A Material 0228,CAT009,SUP096,TON,1663.63,Netherlands
MAT0229,Methanol Industrial Material 0229,CAT008,SUP271,TON,3005.01,Belgium
MAT0230,Xylene A Material 0230,CAT006,SUP181,BOX,3105.95,Japan
MAT0231,Formaldehyde A Material 0231,CAT003,SUP161,KG,1230.93,Germany
MAT0232,Citric Acid Industrial Material 0232,CAT003,SUP262,BOX,2120.28,United States
MAT0233,Acetic Acid Premium Material 0233,CAT007,SUP096,BOX,3195.73,United States
MAT0234,Sodium Carbonate B Material 0234,CAT008,SUP148,L,976.14,Netherlands
MAT0235,Formaldehyde A Material 0235,CAT006,SUP488,KG,2448.81,Singapore
MAT0236,Xylene Premium Material 0236,CAT007,SUP351,BOX,2107.37,Netherlands
MAT0237,Glycerol B Material 0237,CAT002,SUP290,KG,3989.61,Singapore
MAT0238,Calcium Carbonate A Material 0238,CAT005,SUP116,DRUM,1478.92,Netherlands
MAT0239,Acetic Acid Premium Material 0239,CAT009,SUP262,KG,2884.93,Japan
MAT0240,Sodium Carbonate Industrial Material 0240,CAT009,SUP422,KG,3812.02,Netherlands
MAT0241,Sodium Carbonate B Material 0241,CAT007,SUP053,L,1523.66,India
MAT0242,Propylene Glycol Industrial Material 0242,CAT006,SUP442,KG,2223.4,Germany
MAT0243,Hydrochloric Acid B Material 0243,CAT010,SUP353,TON,4312.19,Belgium
MAT0244,Ethylene Glycol B Material 0244,CAT010,SUP072,L,4076.97,India
MAT0245,Acetic Acid Industrial Material 0245,CAT009,SUP144,DRUM,2716.9,United Kingdom
MAT0246,Calcium Carbonate Industrial Material 0246,CAT010,SUP137,DRUM,4928.17,Germany
MAT0247,Hydrogen Peroxide Premium Material 0247,CAT001,SUP142,L,3522.06,United States
MAT0248,Hydrochloric Acid B Material 0248,CAT006,SUP425,L,3819.29,France
MAT0249,Glycerol B Material 0249,CAT010,SUP324,TON,3157.67,France
MAT0250,Propylene Glycol A Material 0250,CAT002,SUP207,DRUM,3761.52,United Kingdom
MAT0251,Propylene Glycol Premium Material 0251,CAT006,SUP298,KG,4351.09,Germany
MAT0252,Propylene Glycol Industrial Material 0252,CAT002,SUP408,DRUM,2018.69,France
MAT0253,Sulfuric Acid Premium Material 0253,CAT005,SUP166,TON,1721.89,Belgium
MAT0254,Hydrogen Peroxide Premium Material 0254,CAT006,SUP458,KG,277.42,Netherlands
MAT0255,Sodium Hydroxide A Material 0255,CAT003,SUP226,BOX,53.35,France
MAT0256,Sulfuric Acid B Material 0256,CAT005,SUP082,TON,512.03,United Kingdom
MAT0257,Sodium Chloride A Material 0257,CAT006,SUP341,L,306.35,Japan
MAT0258,Hydrochloric Acid Premium Material 0258,CAT002,SUP361,KG,55.38,Netherlands
MAT0259,Acetone B Material 0259,CAT010,SUP116,DRUM,3415.91,India
MAT0260,Sodium Hydroxide Industrial Material 0260,CAT002,SUP441,box,3485.45,Netherlands
MAT0261,Acetone B Material 0261,CAT007,SUP046,KG,560.85,United Kingdom
MAT0262,Calcium Carbonate B Material 0262,CAT007,SUP397,L,3225.8,United States
MAT0263,Acetone A Material 0263,CAT010,SUP333,L,2228.49,Singapore
MAT0264,Hydrogen Peroxide Premium Material 0264,CAT010,SUP352,box,4306.81,Germany
MAT0265,Methanol B Material 0265,CAT002,SUP302,BOX,1790.1,France
MAT0266,Isopropyl Alcohol B Material 0266,CAT004,SUP142,KG,1278.43,Belgium
MAT0267,Formaldehyde Industrial Material 0267,CAT001,SUP435,TON,1066.96,Belgium
MAT0268,Ammonium Hydroxide B Material 0268,CAT007,SUP152,KG,3929.82,Singapore
MAT0269,Glycerol Premium Material 0269,CAT002,SUP124,BOX,3208.51,Germany
MAT0270,Ammonium Hydroxide A Material 0270,CAT006,SUP479,TON,703.32,Belgium
MAT0271,Ethylene Glycol Industrial Material 0271,CAT009,SUP350,L,3825.49,Germany
MAT0272,Sodium Hydroxide A Material 0272,CAT001,SUP135,L,247.14,India
MAT0273,Xylene Industrial Material 0273,CAT009,SUP393,BOX,2146.7,France
MAT0274,Acetone B Material 0274,CAT005,SUP043,TON,441.16,Singapore
MAT0275,Hydrogen Peroxide Industrial Material 0275,CAT007,SUP301,KG,1585.34,France
MAT0276,Hydrochloric Acid A Material 0276,CAT004,SUP045,BOX,624.13,Belgium
MAT0277,Formaldehyde A Material 0277,CAT005,SUP342,L,641.24,United States
MAT0278,Sodium Hydroxide B Material 0278,CAT008,SUP488,TON,2638.88,Japan
MAT0279,Citric Acid Industrial Material 0279,CAT003,SUP384,TON,3678.03,Germany
MAT0280,Sodium Hydroxide Industrial Material 0280,CAT007,SUP140,DRUM,366.17,Belgium
MAT0281,Acetone Premium Material 0281,CAT008,SUP262,TON,324.42,Belgium
MAT0282,Citric Acid Industrial Material 0282,CAT003,SUP131,kg,4476.63,Germany
MAT0283,Hydrochloric Acid A Material 0283,CAT001,SUP440,KG,1260.53,Netherlands
MAT0284,Toluene Premium Material 0284,CAT003,SUP092,KG,2786.68,France
MAT0285,Hydrochloric Acid Industrial Material 0285,CAT004,SUP214,TON,1392.73,Germany
MAT0286,Acetic Acid Industrial Material 0286,CAT002,SUP258,KG,937.75,Switzerland
MAT0287,Ethanol Premium Material 0287,CAT002,SUP450,BOX,4336.86,Japan
MAT0288,Isopropyl Alcohol A Material 0288,CAT009,SUP234,KG,1876.15,Japan
MAT0289,Acetic Acid Industrial Material 0289,CAT010,SUP125,BOX,1872.95,Netherlands
MAT0290,Sulfuric Acid B Material 0290,CAT003,SUP004,BOX,168.36,Switzerland
MAT0291,Toluene A Material 0291,CAT006,SUP001,BOX,4252.58,Japan
MAT0292,Methanol B Material 0292,CAT009,SUP122,BOX,2485.54,India
MAT0293,Hydrogen Peroxide Industrial Material 0293,CAT002,SUP023,L,4491.57,Switzerland
MAT0294,Ethylene Glycol Industrial Material 0294,CAT008,SUP499,KG,2924.81,Switzerland
MAT0295,Hydrogen Peroxide Premium Material 0295,CAT002,SUP304,DRUM,358.3,United States
MAT0296,hydrochloric acid industrial material 0296,CAT005,SUP436,TON,4633.91,France
MAT0297,Isopropyl Alcohol Industrial Material 0297,CAT008,SUP140,L,419.7,Singapore
MAT0298,Hydrogen Peroxide A Material 0298,CAT003,SUP055,L,,United Kingdom
MAT0299,Ethylene Glycol A Material 0299,CAT009,SUP184,L,2286.99,Netherlands
MAT0300,Sodium Chloride A Material 0300,CAT002,SUP081,TON,4140.61,Belgium
MAT0301,Ethanol B Material 0301,CAT006,SUP076,KG,3570.23,United Kingdom
MAT0302,Xylene A Material 0302,CAT005,SUP134,L,203.86,France
MAT0303,Propylene Glycol B Material 0303,CAT002,SUP237,KG,-213.0,United States
MAT0304,Methanol A Material 0304,CAT001,SUP426,L,697.04,France
MAT0305,Toluene A Material 0305,CAT010,SUP301,TON,4591.27,Germany
MAT0306,Sodium Hydroxide A Material 0306,CAT004,SUP463,BOX,4056.03,Germany
MAT0307,Isopropyl Alcohol A Material 0307,CAT001,SUP483,BOX,300.66,Belgium
MAT0308,Ethylene Glycol Premium Material 0308,CAT008,SUP016,BOX,3431.9,United States
MAT0309,Toluene B Material 0309,CAT003,SUP141,TON,2257.76,United States
MAT0310,Ethanol B Material 0310,CAT005,SUP256,box,4419.75,Netherlands
MAT0311,Ethanol A Material 0311,CAT005,SUP197,L,2125.21,Switzerland
MAT0312,Hydrochloric Acid A Material 0312,CAT007,SUP401,TON,2424.44,Netherlands
MAT0313,Toluene Industrial Material 0313 ,CAT007,SUP139,L,179.01,Belgium
MAT0314,Hydrochloric Acid A Material 0314,CAT005,SUP030,BOX,2670.69,Belgium
