purchase_id,material_id,supplier_id,purchase_date,quantity,total_amount
PO00056,MAT0660,SUP047,2026-07-20,632.4,385890.48
PO00057,MAT1548,SUP069,2025-10-15,693.06,1943700.63
PO00058,MAT1948,SUP212,2025-09-13,976.36,3589245.81
PO00059,MAT0192,SUP476,2025-05-31,910.09,1393730.03
PO00060,MAT0790,SUP186,2025-04-10,758.12,1942553.62
PO00061,MAT0008,SUP294,2025-05-19,881.43,3566045.42
PO00062,MAT0516,SUP475,2026-04-30,385.58,850250.17
PO00063,MAT0126,SUP383,2025-06-24,769.47,853519.21
PO00064,MAT1945,SUP357,2026-08-24,691.24,1165527.41
PO00065,MAT1367,SUP188,2026-01-07,931.63,410867.46
PO00066,MAT1338,SUP374,2026-08-22,576.19,1080223.73
PO00067,MAT1818,SUP387,2026-04-04,895.05,2709047.83
PO00068,MAT1792,SUP367,2026-05-19,947.14,2997584.44
PO00069,MAT0621,SUP244,2026-08-04,350.39,1310216.83
PO00070,MAT0424,SUP487,2025-12-14,987.94,1826256.49
PO00071,MAT0872,SUP083,2026-01-14,78.2,306150.65
PO00072,MAT0665,SUP290,2025-05-19,627.79,535197.25
PO00073,MAT0790,SUP186,2026-02-08,917.6,2351194.01
PO00074,MAT0468,SUP022,2025-04-24,992.97,2864678.73
PO00075,MAT1339,SUP236,2025-07-21,961.96,3931732.53
PO00076,MAT0773,SUP200,2025-11-25,299.43,1189952.79
PO00077,MAT1144,SUP346,2025-03-27,361.16,335625.99
PO00078,MAT0173,SUP134,2026-05-22,25.8,66781.75
PO00079,MAT0689,SUP275,2026-03-04,991.78,1072015.0
PO00080,MAT1427,SUP088,2026-01-09,852.74,4233427.73
PO00081,MAT1064,SUP001,2025-07-16,518.29,2420860.03
PO00082,MAT0157,SUP415,2026-06-17,905.24,2800694.88
PO00083,MAT1422,SUP437,2025-01-25,494.71,543567.56
PO00084,MAT0279,SUP384,2025-06-20,61.49,226162.06
PO00085,MAT0645,SUP035,2025-09-02,703.51,1891147.44
PO00086,MAT1732,SUP001,2025-09-27,454.44,473531.02
PO00087,MAT1840,SUP046,2026-03-20,344.14,434948.22
PO00088,MAT1010,SUP022,2025-10-07,752.5,430264.45
PO00089,MAT0590,SUP179,2026-04-15,662.82,2436122.0
PO00090,MAT0685,SUP203,2025-12-07,555.76,1722394.72
PO00091,MAT0219,SUP192,2025-05-14,873.32,2045455.17
PO00092,MAT1773,SUP221,2025-01-11,737.29,3671217.59
PO00093,MAT1923,SUP425,2025-01-20,309.68,170766.84
PO00094,MAT0689,SUP275,2025-07-24,905.49,978744.14
PO00095,MAT1808,SUP187,2026-01-25,394.51,797908.31
PO00096,MAT0563,SUP247,2025-10-04,699.89,821873.83
PO00097,MAT1690,SUP343,2025-12-10,373.13,405245.3
PO00098,MAT0504,SUP258,2026-06-09,855.09,437198.97
PO00099,MAT0237,SUP290,2026-03-11,413.12,1648187.68
PO00100,MAT0393,SUP486,2025-12-17,141.02,325310.58
PO00101,MAT1673,SUP407,2025-12-21,721.93,1985783.97
PO00102,MAT0271,SUP350,2026-07-20,200.97,768808.73
PO00103,MAT0764,SUP037,2025-10-16,274.01,1000506.41
PO00104,MAT1993,SUP281,2026-04-06,919.59,304136.0
PO00105,MAT1231,SUP467,2025-03-28,807.42,2653908.8
PO00106,MAT0669,SUP112,2025-11-23,862.86,2859845.93
PO00107,MAT1483,SUP061,2025-04-27,-30.0,15279.74
PO00108,MAT0888,SUP498,2025-05-12,808.16,1571087.28
PO00109,MAT0232,SUP262,2025-04-20,250.53,531193.75
PO00110,MAT1747,SUP217,2025-07-01,379.65,588313.23
PO00111,MAT0221,SUP179,2025-06-07,576.19,1007283.83
PO00112,MAT0264,SUP352,2025-08-31,781.09,3364006.22
PO00113,MAT1759,SUP263,2025-03-19,19.55,33664.71
PO00114,MAT0822,SUP460,2025-01-14,739.14,1092035.0
PO00115,MAT1742,SUP197,2025-12-16,871.46,1879974.51
PO00116,MAT1979,SUP482,2025-03-14,164.68,341803.22
PO00117,MAT1068,SUP259,2026-04-17,634.69,2808795.21
PO00118,MAT0201,SUP014,2025-12-05,788.27,1420367.95
PO00119,MAT0512,SUP283,2025-04-19,616.44,1503016.34
PO00120,MAT1832,SUP339,2025-02-27,707.11,1067198.7
PO00121,MAT0832,SUP022,2025-07-24,918.82,2658973.2
PO00122,MAT1907,SUP196,2025-03-25,193.72,117888.31
PO00123,MAT0757,SUP067,2025-04-04,13.8,45528.27
PO00124,MAT0137,SUP291,2025-08-27,218.12,200386.84
PO00125,MAT1396,SUP359,2025-03-23,393.03,35105.44
PO00126,MAT1706,SUP143,2026-06-27,200.71,660891.87
PO00127,MAT1748,SUP191,2025-07-22,711.16,2542055.64
PO00128,MAT0933,SUP405,2026-05-23,609.4,857108.91
PO00129,MAT1024,SUP172,2025-07-10,474.52,1726892.16
PO00130,MAT1727,SUP308,2025-03-04,448.09,1092739.16
PO00131,MAT0544,SUP412,2026-06-04,16.25,45482.61
PO00132,MAT1689,SUP409,2025-06-30,974.45,2881663.03
PO00133,MAT0828,SUP068,2025-09-27,152.45,137220.24
PO00134,MAT1791,SUP247,2026-07-10,579.68,869618.55
PO00135,MAT0808,SUP043,2025-07-13,702.97,2655637.89
PO00136,MAT1996,SUP030,2025-03-19,196.32,756821.45
PO00137,MAT0713,SUP419,2025-11-26,758.72,1261796.88
PO00138,MAT0822,SUP460,2025-08-22,170.8,252346.75
PO00139,MAT0804,SUP143,2025-10-31,605.54,2218450.29
PO00140,MAT0042,SUP099,2026-06-03,644.19,3220872.7
PO00141,MAT0626,SUP305,2025-08-12,432.26,1668489.02
PO00142,MAT1319,SUP301,2025-12-20,738.09,741773.07
PO00143,MAT1407,SUP459,2026-06-28,16.91,29473.96
PO00144,MAT0884,SUP430,2025-09-15,288.63,1050538.16
PO00145,MAT0796,SUP102,2025-06-15,74.01,87983.83
PO00146,MAT1196,SUP101,2025-03-06,498.98,2287748.45
PO00147,MAT1746,SUP295,2025-03-03,623.65,1216585.24
PO00148,MAT1735,SUP177,2026-03-17,89.15,212218.01
PO00149,MAT0367,SUP084,2026-04-02,21.88,82211.04
PO00150,MAT1581,SUP031,2025-04-01,325.21,1391944.33
PO00151,MAT1702,SUP141,2026-01-06,701.1,3405347.86
PO00152,MAT1988,SUP393,2025-03-09,573.51,2210491.06
PO00153,MAT1943,SUP034,2025-11-23,456.28,1309651.36
PO00154,MAT1685,SUP326,2026-05-07,376.74,1666151.49
PO00155,MAT0484,SUP435,2025-11-04,765.78,2631679.55
PO00156,MAT0430,SUP235,2025-11-17,550.46,2632927.24
PO00157,MAT1472,SUP343,2025-07-14,235.83,620876.72
PO00158,MAT0767,SUP207,2025-06-24,52.27,142364.66
PO00159,MAT1744,SUP350,2025-12-28,415.64,1737146.6
PO00160,MAT0858,SUP272,2026-04-18,331.12,858806.08
PO00161,MAT0632,SUP299,2026-02-17,468.99,124394.91
PO00162,MAT0416,SUP266,2026-04-21,457.65,1582004.52
PO00163,MAT0459,SUP428,2025-05-26,740.48,790551.26
PO00164,MAT0637,SUP475,2026-01-30,425.4,104975.96
PO00165,MAT1704,SUP015,2025-01-26,874.63,3915377.4
PO00166,MAT1372,SUP257,2025-11-21,387.64,1380502.33
PO00167,MAT0400,SUP340,2025-06-02,405.42,562070.23
PO00168,MAT1043,SUP159,2025-01-15,440.04,1007361.57
PO00169,MAT0595,SUP210,2025-06-26,159.53,95207.5
PO00170,MAT1519,SUP479,2025-07-08,224.82,532481.67
PO00171,MAT1326,SUP197,2025-01-17,397.38,1552917.33
PO00172,MAT1497,SUP269,2025-06-03,278.18,244286.55
PO00173,MAT1987,SUP224,2025-07-22,31.46,59332.3
PO00174,MAT0655,SUP314,2026-02-06,166.73,498412.66
PO00175,MAT1492,SUP465,2026-07-17,284.89,686570.66
PO00176,MAT0618,SUP028,2025-07-14,491.67,1300811.32
PO00177,MAT0701,SUP344,2026-05-27,438.53,613784.13
PO00178,MAT0759,SUP355,2025-06-13,492.47,651941.64
PO00179,MAT0852,SUP490,2025-03-03,359.84,239178.45
PO00180,MAT1572,SUP309,2025-04-19,76.24,380478.77
PO00181,MAT0384,SUP272,2025-11-28,708.96,1485186.12
PO00182,MAT0026,SUP053,2025-10-24,150.06,197635.02
PO00183,MAT0233,SUP096,2026-06-16,943.9,3016449.55
PO00184,MAT0540,SUP186,2025-08-10,422.18,1822179.54
PO00185,MAT1667,SUP500,2025-01-14,957.29,1930739.06
PO00186,MAT0756,SUP337,2025-06-12,345.19,1641350.83
PO00187,MAT1752,SUP026,2025-11-15,687.22,2369273.42
PO00188,MAT0500,SUP074,2026-03-16,615.51,2530509.33
PO00189,MAT0863,SUP236,2025-05-13,534.34,335031.18
PO00190,MAT0450,SUP405,2025-12-16,727.51,2017596.21
PO00191,MAT1743,SUP018,2025-05-12,375.87,1802161.34
PO00192,MAT1907,SUP196,2026-04-30,72.49,44113.79
PO00193,MAT0762,SUP331,2026-04-03,376.31,220792.37
PO00194,MAT1411,SUP460,2025-09-10,217.36,1015595.04
PO00195,MAT1977,SUP191,2025-12-01,691.4,187749.67
PO00196,MAT1068,SUP259,2025-11-17,637.53,2821363.51
PO00197,MAT1561,SUP419,2026-05-03,788.94,3648579.26
PO00198,MAT0546,SUP154,2026-07-23,347.35,983900.14
PO00199,MAT1381,SUP048,2025-12-06,701.35,64503.16
PO00200,MAT1810,SUP291,2025-05-11,965.82,1233796.42
PO00201,MAT1394,SUP433,2026-08-10,971.42,4626504.32
PO00202,MAT0141,SUP239,2025-08-23,711.02,597683.41
PO00203,MAT0664,SUP314,2025-08-31,815.19,1568800.55
PO00204,MAT0803,SUP211,2025-09-13,493.7,1220233.86
PO00205,MAT1833,SUP405,2026-04-27,891.65,1482047.13
PO00206,MAT1736,SUP426,2025-11-17,515.85,1829106.09
PO00207,MAT0929,SUP018,2025-04-08,390.3,1353903.86
PO00208,MAT1380,SUP292,2025-06-01,627.37,170726.2
PO00209,MAT1044,SUP068,2025-03-25,533.94,1360788.81
PO00210,MAT0759,SUP355,2026-04-19,606.57,802989.5
PO00211,MAT0020,SUP224,2025-09-30,76.26,177363.98
PO00212,MAT1394,SUP433,2026-02-03,779.66,3713224.31
PO00213,MAT0524,SUP003,2025-10-10,714.79,655047.85
PO00214,MAT1173,SUP335,2026-01-08,849.3,92836.98
PO00215,MAT0580,SUP382,2025-03-02,479.01,1259116.11
PO00216,MAT0583,SUP405,2025-08-17,636.74,59980.91
PO00217,MAT1407,SUP459,2025-12-02,362.61,632025.6
PO00218,MAT0634,SUP339,2026-05-10,566.26,1886642.42
PO00219,MAT0678,SUP371,2025-10-07,957.1,4472298.6
PO00220,MAT1298,SUP225,2026-05-12,985.43,838679.76
PO00221,MAT1715,SUP195,2026-07-04,208.06,193728.83
PO00222,MAT1205,SUP257,2025-07-12,958.15,3171007.01
PO00223,MAT0145,SUP361,2025-05-04,302.66,132144.38
PO00224,MAT1606,SUP258,2025-03-04,738.14,2339985.0
PO00225,MAT0661,SUP212,2025-07-19,528.27,1205448.75
PO00226,MAT1797,SUP291,2026-06-01,289.63,866694.6
PO00227,MAT1301,SUP061,2026-01-21,428.76,1059418.8
PO00228,MAT1706,SUP143,2025-01-12,305.2,1004953.4
PO00229,MAT0656,SUP234,2025-07-29,152.62,670766.43
PO00230,MAT0374,SUP351,2025-01-26,38.53,93805.52
PO00231,MAT1674,SUP363,2026-03-08,87.92,228278.13
PO00232,MAT0882,SUP074,2026-04-22,778.04,1581825.34
PO00233,MAT0691,SUP311,2025-06-01,452.22,442058.62
PO00234,MAT0122,SUP483,2026-01-27,559.71,2164572.08
PO00235,MAT0815,SUP057,2026-03-31,760.88,1414985.71
PO00236,MAT1138,SUP483,2025-04-21,937.53,2366335.1
PO00237,MAT0078,SUP377,2026-04-12,283.19,713715.26
PO00238,MAT1333,SUP136,2026-04-10,291.92,604653.9
PO00239,MAT1676,SUP102,2026-08-24,137.25,597759.44
PO00240,MAT0185,SUP137,2025-01-18,132.68,58531.78
PO00241,MAT1194,SUP373,2025-12-01,557.05,737305.81
PO00242,MAT1215,SUP109,2026-01-13,150.34,596750.58
PO00243,MAT0800,SUP500,2026-01-20,554.63,582882.85
PO00244,MAT1442,SUP178,2026-03-21,649.87,3232992.77
PO00245,MAT1656,SUP149,2026-02-10,186.22,848742.34
PO00246,MAT0634,SUP339,2025-02-05,647.18,2156248.44
PO00247,MAT0288,SUP234,2025-11-28,569.96,1069330.45
PO00248,MAT0318,SUP278,2026-08-06,48.99,45022.3
PO00249,MAT1523,SUP207,2026-06-08,65.3,152860.77
PO00250,MAT1731,SUP406,2025-05-16,501.71,2015554.7
PO00251,MAT0565,SUP147,2025-03-11,148.51,400789.88
PO00252,MAT1889,SUP343,2025-04-15,527.55,2019556.36
PO00253,MAT1984,SUP390,2025-08-29,100.94,202363.5
PO00254,MAT0452,SUP179,2026-01-04,972.6,4301625.01
PO00255,MAT1887,SUP226,2025-12-13,90.35,337687.64
PO00256,MAT1193,SUP219,2025-12-18,753.34,2867475.71
PO00257,MAT0855,SUP499,2026-05-20,406.55,771367.64
PO00258,MAT1373,SUP268,2025-03-05,529.43,2589304.48
PO00259,MAT1663,SUP141,2026-02-10,697.64,734754.45
PO00260,MAT0351,SUP204,2026-07-16,824.62,1372439.8
PO00261,MAT0584,SUP080,2025-08-01,454.01,1754952.95
PO00262,MAT0403,SUP152,2025-04-29,765.14,187505.21
PO00263,MAT0263,SUP333,2025-09-25,235.12,523962.57
PO00264,MAT1744,SUP350,2025-02-27,648.31,2709579.23
PO00265,MAT1580,SUP429,2026-07-26,33.98,47163.56
PO00266,MAT1729,SUP015,2025-08-19,483.91,1251105.75
PO00267,MAT1674,SUP363,2025-02-13,226.81,588896.29
PO00268,MAT1322,SUP230,2025-08-27,950.47,4332907.59
PO00269,MAT1446,SUP138,2025-05-21,505.58,1230480.6
PO00270,MAT0861,SUP145,2025-11-27,393.65,1537242.62
PO00271,MAT0319,SUP309,2026-02-10,29.06,4319.48
PO00272,MAT0956,SUP222,2025-10-24,497.3,665889.67
PO00273,MAT0108,SUP500,2026-03-01,554.53,1108960.18
PO00274,MAT0919,SUP140,2025-02-11,208.12,40427.31
PO00275,MAT0739,SUP149,2025-02-06,216.75,48738.41
PO00276,MAT0131,SUP465,2026-08-20,496.55,1628127.86
PO00277,MAT0668,SUP235,2025-12-24,704.81,3019603.39
PO00278,MAT1094,SUP317,2026-08-19,882.83,1062839.04
PO00279,MAT0956,SUP222,2026-06-06,899.59,1204560.01
PO00280,MAT1365,SUP376,2025-06-18,403.21,1409545.55
PO00281,MAT1336,SUP446,2025-06-05,540.87,1501914.86
PO00282,MAT1213,SUP194,2025-10-16,272.99,387637.61
PO00283,MAT0240,SUP422,2026-01-19,515.77,1966125.56
PO00284,MAT0662,SUP047,2025-06-13,836.47,1383663.58
PO00285,MAT1304,SUP500,2025-09-20,341.14,1262316.93
PO00286,MAT1454,SUP126,2025-12-01,898.95,1002473.08
PO00287,MAT0197,SUP152,2026-02-07,127.98,458154.32
PO00288,MAT0359,SUP154,2025-10-20,457.13,1774327.24
PO00289,MAT1907,SUP196,2026-04-02,607.33,369590.67
PO00290,MAT1438,SUP048,2026-06-09,772.32,1928104.6
PO00291,MAT0221,SUP179,2025-07-29,192.98,337363.78
PO00292,MAT0913,SUP415,2025-02-12,393.58,1681070.7
PO00293,MAT1975,SUP328,2025-04-20,745.39,94798.7
PO00294,MAT0860,SUP274,2025-07-30,208.14,372689.24
PO00295,MAT1508,SUP495,2026-08-07,738.35,2316787.25
PO00296,MAT1139,SUP218,2025-11-02,834.6,3193238.02
PO00297,MAT1041,SUP480,2025-08-08,887.79,3951402.37
PO00298,MAT1954,SUP032,2025-11-07,367.33,125909.7
PO00299,MAT1868,SUP266,2025-02-25,651.35,484663.02
PO00300,MAT1975,SUP328,2025-08-24,571.18,72642.67
PO00301,MAT1728,SUP391,2025-09-16,224.64,131162.8
PO00302,MAT0104,SUP026,2025-01-25,316.8,791914.46
PO00303,MAT1487,SUP222,2025-08-10,831.29,2844458.24
PO00304,MAT1739,SUP454,2025-12-08,214.29,199694.71
PO00305,MAT0053,SUP015,2026-02-02,722.77,3366366.32
PO00306,MAT1115,SUP061,2026-04-14,984.39,4350491.92
PO00307,MAT1074,SUP091,2025-06-19,921.61,615248.4
PO00308,MAT1383,SUP209,2026-05-07,565.22,310848.39
PO00309,MAT0119,SUP266,2025-10-20,797.05,2252774.15
PO00310,MAT0646,SUP373,2025-09-12,86.9,333600.41
PO00311,MAT0222,SUP244,2025-04-20,885.57,1965008.98
PO00312,MAT1505,SUP214,2025-02-01,623.08,985182.94
PO00313,MAT1431,SUP402,2025-01-12,947.32,4000532.36
PO00314,MAT1450,SUP306,2025-01-01,310.41,1269164.05
PO00315,MAT0559,SUP378,2026-01-26,731.46,1641132.91
PO00316,MAT0357,SUP354,2025-06-13,106.26,31239.38
PO00317,MAT1556,SUP115,2026-01-12,223.16,1029939.19
PO00318,MAT1582,SUP197,2025-07-15,971.23,262096.13
PO00319,MAT1676,SUP102,2026-01-17,85.34,371677.89
PO00320,MAT0828,SUP068,2026-03-04,657.09,591446.71
PO00321,MAT1499,SUP130,2025-11-01,772.74,1793390.45
PO00322,MAT0151,SUP217,2025-05-03,309.03,1086830.7
PO00323,MAT0305,SUP301,2025-09-27,462.36,2122819.6
PO00324,MAT0377,SUP465,2025-07-29,129.12,265052.37
PO00325,MAT1772,SUP016,2025-02-01,881.49,2770584.77
PO00326,MAT1828,SUP478,2026-05-03,182.84,436312.92
PO00327,MAT0346,SUP352,2025-04-26,95.23,274732.84
PO00328,MAT0470,SUP114,2025-08-29,460.69,1926605.58
PO00329,MAT0444,SUP490,2026-08-17,697.97,3371802.33
PO00330,MAT1944,SUP361,2025-10-07,277.37,1367911.18
PO00331,MAT1353,SUP220,2026-07-31,484.93,828008.28
PO00332,MAT0009,SUP476,2025-06-06,223.32,43172.22
PO00333,MAT1561,SUP419,2026-02-12,681.24,3150503.38
PO00334,MAT0893,SUP091,2025-01-31,46.79,155065.8
PO00335,MAT1874,SUP024,2026-03-19,832.15,1594674.01
PO00336,MAT0259,SUP116,2026-02-27,183.27,626033.83
PO00337,MAT1914,SUP309,2025-01-14,580.99,1726818.48
PO00338,MAT0424,SUP487,2025-02-15,660.04,1220116.94
PO00339,MAT0337,SUP210,2025-10-15,712.8,2583251.35
PO00340,MAT0849,SUP237,2026-05-06,210.67,798114.87
PO00341,MAT0430,SUP235,2025-10-01,34.17,163439.89
PO00342,MAT1218,SUP448,2025-10-06,963.56,3893784.5
PO00343,MAT1625,SUP166,2025-07-12,242.47,394488.99
PO00344,MAT0114,SUP299,2026-04-04,812.25,3244077.76
PO00345,MAT1027,SUP057,2025-02-15,874.79,3687974.67
PO00346,MAT0421,SUP228,2026-03-22,563.35,1277728.5
PO00347,MAT1405,SUP043,2026-05-16,794.04,311922.73
PO00348,MAT0570,SUP415,2025-02-18,293.65,614864.93
PO00349,MAT0812,SUP361,2025-04-01,602.07,2594253.4
PO00350,MAT0637,SUP475,2026-04-13,822.51,202970.79
PO00351,MAT1405,SUP043,2026-07-12,172.26,67668.9
PO00352,MAT1623,SUP225,2026-01-16,728.94,1871845.03
PO00353,MAT0666,SUP158,2026-07-08,154.24,565181.63
PO00354,MAT1803,SUP461,2025-12-22,412.93,2008243.76
PO00355,MAT0977,SUP048,2026-08-18,407.76,1056522.47
PO00356,MAT1965,SUP047,2026-04-24,983.68,4489259.76
PO00357,MAT0051,SUP485,2025-10-27,156.16,639112.91
PO00358,MAT1325,SUP351,2026-05-22,678.95,2958707.94
PO00359,MAT0537,SUP270,2026-02-22,366.73,886635.79
PO00360,MAT0393,SUP486,2026-03-19,95.58,220487.77
PO00361,MAT0001,SUP232,2025-09-17,885.92,1858996.81
PO00362,MAT0245,SUP144,2025-12-07,925.47,2514409.44
PO00363,MAT0270,SUP479,2026-04-23,456.26,320896.78
PO00364,MAT0135,SUP436,2026-07-07,863.18,2042888.11
PO00365,MAT0799,SUP233,2025-06-18,890.84,1752540.62
PO00366,MAT0463,SUP004,2025-12-18,511.29,185613.61
PO00367,MAT1377,SUP040,2025-05-29,602.8,1829974.21
PO00368,MAT0411,SUP410,2026-07-08,636.37,2075705.3
PO00369,MAT1998,SUP352,2025-06-13,852.59,1674913.06
PO00370,MAT1424,SUP004,2026-08-11,148.13,580946.6
PO00371,MAT1870,SUP215,2025-07-30,826.44,755746.32
PO00372,MAT0359,SUP154,2026-02-10,90.93,352940.25
PO00373,MAT0089,SUP085,2026-03-06,881.92,1452672.17
PO00374,MAT0714,SUP303,2026-05-29,548.56,675249.93
PO00375,MAT1195,SUP193,2026-06-17,112.78,343959.83
PO00376,MAT0249,SUP324,2025-01-05,262.17,827846.34
PO00377,MAT1598,SUP277,2026-07-18,667.99,2019246.93
PO00378,MAT1636,SUP222,2025-06-18,742.31,3463039.46
PO00379,MAT0146,SUP463,2025-12-09,494.29,519340.62
PO00380,MAT0216,SUP360,2025-11-30,734.54,2195841.22
PO00381,MAT0054,SUP147,2026-01-18,552.97,1932939.81
PO00382,MAT0507,SUP069,2026-02-09,527.89,1273191.5
PO00383,MAT0542,SUP218,2026-02-07,226.88,482008.83
PO00384,MAT1205,SUP257,2025-12-26,752.33,2489843.66
PO00385,MAT1560,SUP216,2025-04-19,233.56,243493.31
PO00386,MAT0349,SUP022,2026-04-10,164.14,71880.19
PO00387,MAT1787,SUP126,2025-07-12,719.04,1615021.36
PO00388,MAT0059,SUP181,2026-06-01,801.94,2305409.09
PO00389,MAT0094,SUP214,2026-05-23,152.91,491301.36
PO00390,MAT1229,SUP473,2025-03-15,697.99,2223838.02
PO00391,MAT1537,SUP493,2025-11-10,249.42,590162.64
PO00392,MAT0914,SUP103,2026-02-20,309.83,724788.42
PO00393,MAT0776,SUP019,2025-08-03,546.55,1349994.9
PO00394,MAT0163,SUP254,2025-04-09,952.04,4629618.19
PO00395,MAT1318,SUP300,2025-07-15,33.27,16029.15
PO00396,MAT0385,SUP210,2025-02-01,302.83,1353522.91
PO00397,MAT0968,SUP426,2025-08-01,193.86,445406.92
PO00398,MAT1536,SUP298,2025-03-15,76.35,16698.51
PO00399,MAT0805,SUP297,2026-04-09,951.5,4247990.78
PO00400,MAT0547,SUP354,2026-03-09,945.43,328234.39
PO00401,MAT0794,SUP474,2026-02-17,20.46,18836.29
PO00402,MAT1475,SUP356,2025-11-04,349.74,147576.29
PO00403,MAT0271,SUP350,2026-01-19,216.36,827683.02
PO00404,MAT1323,SUP477,2026-03-15,623.07,2470397.78
PO00405,MAT1697,SUP092,2026-05-05,638.87,2771028.35
PO00406,MAT1881,SUP116,2025-02-12,682.33,657697.89
PO00407,MAT1738,SUP202,2025-02-02,504.99,204369.45
PO00408,MAT1898,SUP152,2025-12-26,40.73,183681.71
PO00409,MAT1099,SUP125,2026-04-30,862.56,3446168.72
PO00410,MAT1111,SUP369,2026-01-28,755.39,1308411.02
PO00411,MAT0482,SUP201,2025-04-11,428.47,1912098.79
PO00412,MAT0888,SUP498,2025-12-26,949.63,1846109.21
PO00413,MAT1874,SUP024,2026-05-18,994.69,1906154.29
PO00414,MAT0920,SUP494,2026-01-25,48.28,189357.06
PO00415,MAT0263,SUP333,2026-05-15,761.46,1696906.0
PO00416,MAT0346,SUP352,2025-03-30,480.12,1385117.39
PO00417,MAT1883,SUP192,2026-07-11,101.13,295084.19
PO00418,MAT1998,SUP352,2025-09-09,727.04,1428270.08
PO00419,MAT1071,SUP462,2025-04-07,460.14,1555227.19
PO00420,MAT0151,SUP217,2025-12-12,248.96,875569.91
PO00421,MAT0176,SUP079,2026-04-26,44.0,74044.52
PO00422,MAT1670,SUP073,2025-11-14,557.1,1727912.5
PO00423,MAT1784,SUP012,2026-04-08,224.39,992564.48
PO00424,MAT1665,SUP146,2026-02-25,104.0,265994.56
PO00425,MAT1181,SUP152,2025-05-12,597.49,478452.07
PO00426,MAT1953,SUP174,2025-01-29,936.18,3530793.51
PO00427,MAT0816,SUP090,2026-04-01,78.41,277502.4
PO00428,MAT0895,SUP351,2025-07-05,468.55,1350567.26
